Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2023T4	11,76
Ambos sexos	Total Nacional	Total	2023T3	11,84
Ambos sexos	Total Nacional	Total	2023T2	11,60
Ambos sexos	Total Nacional	Total	2023T1	13,26
Ambos sexos	Total Nacional	Total	2022T4	12,87
Ambos sexos	Total Nacional	Total	2022T3	12,67
Ambos sexos	Total Nacional	Total	2022T2	12,48
Ambos sexos	Total Nacional	Total	2022T1	13,65
Ambos sexos	Total Nacional	Total	2021T4	13,33
Ambos sexos	Total Nacional	Total	2021T3	14,57
Ambos sexos	Total Nacional	Total	2021T2	15,26
Ambos sexos	Total Nacional	Total	2021T1	15,98
Ambos sexos	Total Nacional	Menores de 25 años	2023T4	28,36
Ambos sexos	Total Nacional	Menores de 25 años	2023T3	27,82
Ambos sexos	Total Nacional	Menores de 25 años	2023T2	27,94
Ambos sexos	Total Nacional	Menores de 25 años	2023T1	30,03
Ambos sexos	Total Nacional	Menores de 25 años	2022T4	29,26
Ambos sexos	Total Nacional	Menores de 25 años	2022T3	31,01
Ambos sexos	Total Nacional	Menores de 25 años	2022T2	28,52
Ambos sexos	Total Nacional	Menores de 25 años	2022T1	30,18
Ambos sexos	Total Nacional	Menores de 25 años	2021T4	30,70
Ambos sexos	Total Nacional	Menores de 25 años	2021T3	31,15
Ambos sexos	Total Nacional	Menores de 25 años	2021T2	38,38
Ambos sexos	Total Nacional	Menores de 25 años	2021T1	39,53
Ambos sexos	Total Nacional	25 y más años	2023T4	10,50
Ambos sexos	Total Nacional	25 y más años	2023T3	10,50
Ambos sexos	Total Nacional	25 y más años	2023T2	10,36
Ambos sexos	Total Nacional	25 y más años	2023T1	12,06
Ambos sexos	Total Nacional	25 y más años	2022T4	11,69
Ambos sexos	Total Nacional	25 y más años	2022T3	11,20
Ambos sexos	Total Nacional	25 y más años	2022T2	11,27
Ambos sexos	Total Nacional	25 y más años	2022T1	12,49
Ambos sexos	Total Nacional	25 y más años	2021T4	12,15
Ambos sexos	Total Nacional	25 y más años	2021T3	13,29
Ambos sexos	Total Nacional	25 y más años	2021T2	13,60
Ambos sexos	Total Nacional	25 y más años	2021T1	14,45
Ambos sexos	Total Nacional	De 16 a 19 años	2023T4	42,46
Ambos sexos	Total Nacional	De 16 a 19 años	2023T3	40,18
Ambos sexos	Total Nacional	De 16 a 19 años	2023T2	42,94
Ambos sexos	Total Nacional	De 16 a 19 años	2023T1	46,91
Ambos sexos	Total Nacional	De 16 a 19 años	2022T4	42,81
Ambos sexos	Total Nacional	De 16 a 19 años	2022T3	45,42
Ambos sexos	Total Nacional	De 16 a 19 años	2022T2	48,67
Ambos sexos	Total Nacional	De 16 a 19 años	2022T1	46,43
Ambos sexos	Total Nacional	De 16 a 19 años	2021T4	49,22
Ambos sexos	Total Nacional	De 16 a 19 años	2021T3	42,82
Ambos sexos	Total Nacional	De 16 a 19 años	2021T2	56,56
Ambos sexos	Total Nacional	De 16 a 19 años	2021T1	58,23
Ambos sexos	Total Nacional	De 20 a 24 años	2023T4	25,57
Ambos sexos	Total Nacional	De 20 a 24 años	2023T3	24,92
Ambos sexos	Total Nacional	De 20 a 24 años	2023T2	24,87
Ambos sexos	Total Nacional	De 20 a 24 años	2023T1	26,73
Ambos sexos	Total Nacional	De 20 a 24 años	2022T4	26,51
Ambos sexos	Total Nacional	De 20 a 24 años	2022T3	27,60
Ambos sexos	Total Nacional	De 20 a 24 años	2022T2	24,10
Ambos sexos	Total Nacional	De 20 a 24 años	2022T1	26,75
Ambos sexos	Total Nacional	De 20 a 24 años	2021T4	27,06
Ambos sexos	Total Nacional	De 20 a 24 años	2021T3	28,38
Ambos sexos	Total Nacional	De 20 a 24 años	2021T2	34,56
Ambos sexos	Total Nacional	De 20 a 24 años	2021T1	36,52
Ambos sexos	Total Nacional	De 25 a 54 años	2023T4	10,44
Ambos sexos	Total Nacional	De 25 a 54 años	2023T3	10,40
Ambos sexos	Total Nacional	De 25 a 54 años	2023T2	10,18
Ambos sexos	Total Nacional	De 25 a 54 años	2023T1	12,13
Ambos sexos	Total Nacional	De 25 a 54 años	2022T4	11,84
Ambos sexos	Total Nacional	De 25 a 54 años	2022T3	11,40
Ambos sexos	Total Nacional	De 25 a 54 años	2022T2	11,15
Ambos sexos	Total Nacional	De 25 a 54 años	2022T1	12,55
Ambos sexos	Total Nacional	De 25 a 54 años	2021T4	12,11
Ambos sexos	Total Nacional	De 25 a 54 años	2021T3	13,13
Ambos sexos	Total Nacional	De 25 a 54 años	2021T2	13,82
Ambos sexos	Total Nacional	De 25 a 54 años	2021T1	14,90
Ambos sexos	Total Nacional	De 55 y más años	2023T4	10,69
Ambos sexos	Total Nacional	De 55 y más años	2023T3	10,84
Ambos sexos	Total Nacional	De 55 y más años	2023T2	11,02
Ambos sexos	Total Nacional	De 55 y más años	2023T1	11,79
Ambos sexos	Total Nacional	De 55 y más años	2022T4	11,13
Ambos sexos	Total Nacional	De 55 y más años	2022T3	10,48
Ambos sexos	Total Nacional	De 55 y más años	2022T2	11,70
Ambos sexos	Total Nacional	De 55 y más años	2022T1	12,26
Ambos sexos	Total Nacional	De 55 y más años	2021T4	12,31
Ambos sexos	Total Nacional	De 55 y más años	2021T3	13,91
Ambos sexos	Total Nacional	De 55 y más años	2021T2	12,75
Ambos sexos	Total Nacional	De 55 y más años	2021T1	12,70
Ambos sexos	01 Andalucía	Total	2023T4	17,60
Ambos sexos	01 Andalucía	Total	2023T3	18,67
Ambos sexos	01 Andalucía	Total	2023T2	18,05
Ambos sexos	01 Andalucía	Total	2023T1	18,31
Ambos sexos	01 Andalucía	Total	2022T4	19,00
Ambos sexos	01 Andalucía	Total	2022T3	18,98
Ambos sexos	01 Andalucía	Total	2022T2	18,68
Ambos sexos	01 Andalucía	Total	2022T1	19,43
Ambos sexos	01 Andalucía	Total	2021T4	20,18
Ambos sexos	01 Andalucía	Total	2021T3	22,41
Ambos sexos	01 Andalucía	Total	2021T2	21,58
Ambos sexos	01 Andalucía	Total	2021T1	22,54
Ambos sexos	01 Andalucía	Menores de 25 años	2023T4	39,99
Ambos sexos	01 Andalucía	Menores de 25 años	2023T3	40,56
Ambos sexos	01 Andalucía	Menores de 25 años	2023T2	38,91
Ambos sexos	01 Andalucía	Menores de 25 años	2023T1	37,97
Ambos sexos	01 Andalucía	Menores de 25 años	2022T4	35,83
Ambos sexos	01 Andalucía	Menores de 25 años	2022T3	35,92
Ambos sexos	01 Andalucía	Menores de 25 años	2022T2	33,59
Ambos sexos	01 Andalucía	Menores de 25 años	2022T1	36,07
Ambos sexos	01 Andalucía	Menores de 25 años	2021T4	39,15
Ambos sexos	01 Andalucía	Menores de 25 años	2021T3	41,68
Ambos sexos	01 Andalucía	Menores de 25 años	2021T2	47,01
Ambos sexos	01 Andalucía	Menores de 25 años	2021T1	51,09
Ambos sexos	01 Andalucía	25 y más años	2023T4	15,90
Ambos sexos	01 Andalucía	25 y más años	2023T3	16,77
Ambos sexos	01 Andalucía	25 y más años	2023T2	16,40
Ambos sexos	01 Andalucía	25 y más años	2023T1	16,97
Ambos sexos	01 Andalucía	25 y más años	2022T4	17,79
Ambos sexos	01 Andalucía	25 y más años	2022T3	17,66
Ambos sexos	01 Andalucía	25 y más años	2022T2	17,56
Ambos sexos	01 Andalucía	25 y más años	2022T1	18,28
Ambos sexos	01 Andalucía	25 y más años	2021T4	18,87
Ambos sexos	01 Andalucía	25 y más años	2021T3	20,84
Ambos sexos	01 Andalucía	25 y más años	2021T2	19,68
Ambos sexos	01 Andalucía	25 y más años	2021T1	20,70
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T4	55,58
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T3	56,50
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T2	59,59
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T1	58,84
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T4	47,32
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T3	50,63
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T2	56,91
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T1	52,47
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T4	62,11
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T3	54,84
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T2	64,31
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T1	57,65
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T4	36,68
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T3	36,84
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T2	34,37
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T1	33,65
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T4	33,23
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T3	32,94
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T2	28,88
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T1	33,25
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T4	34,69
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T3	39,02
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T2	43,56
