Grupos ECOICOP	Tipo de dato	Periodo	Total
Índice general	Media anual	2025	118,415
Índice general	Media anual	2024	115,333
Índice general	Media anual	2023	112,219
Índice general	Media anual	2022	108,391
Índice general	Media anual	2021	100,000
Índice general	Media anual	2020	97,000
Índice general	Media anual	2019	97,314
Índice general	Media anual	2018	96,638
Índice general	Media anual	2017	95,046
Índice general	Media anual	2016	93,222
Índice general	Media anual	2015	93,412
Índice general	Media anual	2014	93,881
Índice general	Media anual	2013	94,023
Índice general	Media anual	2012	92,717
Índice general	Media anual	2011	90,504
Índice general	Media anual	2010	87,701
Índice general	Media anual	2009	86,150
Índice general	Media anual	2008	86,399
Índice general	Media anual	2007	83,015
Índice general	Media anual	2006	80,765
Índice general	Media anual	2005	78,022
Índice general	Media anual	2004	75,479
Índice general	Media anual	2003	73,253
Índice general	Media anual	2002	71,092
Índice general	Variación de las medias anuales	2025	2,7
Índice general	Variación de las medias anuales	2024	2,8
Índice general	Variación de las medias anuales	2023	3,5
Índice general	Variación de las medias anuales	2022	8,4
Índice general	Variación de las medias anuales	2021	3,1
Índice general	Variación de las medias anuales	2020	-0,3
Índice general	Variación de las medias anuales	2019	0,7
Índice general	Variación de las medias anuales	2018	1,7
Índice general	Variación de las medias anuales	2017	2,0
Índice general	Variación de las medias anuales	2016	-0,2
Índice general	Variación de las medias anuales	2015	-0,5
Índice general	Variación de las medias anuales	2014	-0,2
Índice general	Variación de las medias anuales	2013	1,4
Índice general	Variación de las medias anuales	2012	2,4
Índice general	Variación de las medias anuales	2011	3,2
Índice general	Variación de las medias anuales	2010	1,8
Índice general	Variación de las medias anuales	2009	-0,3
Índice general	Variación de las medias anuales	2008	4,1
Índice general	Variación de las medias anuales	2007	2,8
Índice general	Variación de las medias anuales	2006	3,5
Índice general	Variación de las medias anuales	2005	3,4
Índice general	Variación de las medias anuales	2004	3,0
Índice general	Variación de las medias anuales	2003	3,0
Índice general	Variación de las medias anuales	2002	""
01 Alimentos y bebidas no alcohólicas	Media anual	2025	132,258
01 Alimentos y bebidas no alcohólicas	Media anual	2024	129,105
01 Alimentos y bebidas no alcohólicas	Media anual	2023	124,659
01 Alimentos y bebidas no alcohólicas	Media anual	2022	111,639
01 Alimentos y bebidas no alcohólicas	Media anual	2021	100,000
01 Alimentos y bebidas no alcohólicas	Media anual	2020	98,187
01 Alimentos y bebidas no alcohólicas	Media anual	2019	95,928
01 Alimentos y bebidas no alcohólicas	Media anual	2018	94,946
01 Alimentos y bebidas no alcohólicas	Media anual	2017	93,407
01 Alimentos y bebidas no alcohólicas	Media anual	2016	92,272
01 Alimentos y bebidas no alcohólicas	Media anual	2015	90,998
01 Alimentos y bebidas no alcohólicas	Media anual	2014	89,942
01 Alimentos y bebidas no alcohólicas	Media anual	2013	90,257
01 Alimentos y bebidas no alcohólicas	Media anual	2012	87,810
01 Alimentos y bebidas no alcohólicas	Media anual	2011	85,813
01 Alimentos y bebidas no alcohólicas	Media anual	2010	84,088
01 Alimentos y bebidas no alcohólicas	Media anual	2009	84,796
01 Alimentos y bebidas no alcohólicas	Media anual	2008	85,697
01 Alimentos y bebidas no alcohólicas	Media anual	2007	80,939
01 Alimentos y bebidas no alcohólicas	Media anual	2006	78,057
01 Alimentos y bebidas no alcohólicas	Media anual	2005	74,974
01 Alimentos y bebidas no alcohólicas	Media anual	2004	72,678
