Fecha,CCAA,Consumo_Tm,Target,IPI_original,IPI_ajustado,IPC_var_anual,Tasa_paro,CNMC_Biodiesel_Tm,GasoleoA_Tm,DieselPool_Tm,Biodiesel_GasoleoA_Ratio,Biodiesel_DieselPool_Share,Mes,Trimestre,Año,Tendencia,sin_mes,cos_mes,Mandato_Energia_Pct,Lag_1,Lag_2,Lag_3,Lag_12,Roll_mean_3,Roll_mean_6,Roll_std_3,IPI_original_lag1,IPI_ajustado_lag1,IPC_var_anual_lag1,Tasa_paro_lag1,GasoleoA_Tm_lag1,GasoleoA_Tm_roll3_lag1,Biodiesel_GasoleoA_Ratio_lag1,Biodiesel_GasoleoA_Ratio_roll3_lag1
2023-01,Andalucía,0,Andalucía,97.874,101.664,5.9,13.38,0.0,246092.0,374908.0,0.0,0.0,1,1,2023,1,0.49999999999999994,0.8660254037844387,10.5,,,,,,,,,,,,,,,
2023-02,Andalucía,0,Andalucía,99.947,100.678,6.0,13.38,0.0,261675.0,371574.0,0.0,0.0,2,1,2023,2,0.8660254037844386,0.5000000000000001,10.5,0.0,,,,,,,97.874,101.664,5.9,13.38,246092.0,,0.0,
2023-03,Andalucía,0,Andalucía,113.733,102.479,3.3,13.38,0.0,302382.0,437949.0,0.0,0.0,3,1,2023,3,1.0,6.123233995736766e-17,10.5,0.0,0.0,,,0.0,,0.0,99.947,100.678,6.0,13.38,261675.0,253883.5,0.0,0.0
2023-04,Andalucía,46,Andalucía,93.271,101.097,4.1,11.67,46.0,281273.0,403606.0,0.0001635421814393,0.0001139725375737,4,2,2023,4,0.8660254037844387,-0.4999999999999998,10.5,0.0,0.0,0.0,,0.0,0.0,0.0,113.733,102.479,3.3,13.38,302382.0,270049.6666666667,0.0,0.0
2023-05,Andalucía,0,Andalucía,108.291,100.41,3.2,11.67,0.0,303914.0,460176.0,0.0,0.0,5,2,2023,5,0.49999999999999994,-0.8660254037844387,10.5,46.0,0.0,0.0,,15.333333333333334,11.5,26.558112382722783,93.271,101.097,4.1,11.67,281273.0,281776.6666666667,0.0001635421814393,5.451406047976667e-05
2023-06,Andalucía,0,Andalucía,106.84,100.78,1.9,11.67,0.0,302841.0,430416.0,0.0,0.0,6,2,2023,6,1.2246467991473532e-16,-1.0,10.5,0.0,46.0,0.0,,15.333333333333334,9.2,26.558112382722783,108.291,100.41,3.2,11.67,303914.0,295856.3333333333,0.0,5.451406047976667e-05
2023-07,Andalucía,0,Andalucía,103.068,100.586,2.3,11.89,0.0,307739.0,452484.0,0.0,0.0,7,3,2023,7,-0.4999999999999997,-0.8660254037844388,10.5,0.0,0.0,46.0,,15.333333333333334,7.666666666666667,26.558112382722783,106.84,100.78,1.9,11.67,302841.0,296009.3333333333,0.0,5.451406047976667e-05
2023-08,Andalucía,0,Andalucía,81.579,99.789,2.6,11.89,0.0,301542.0,400773.0,0.0,0.0,8,3,2023,8,-0.8660254037844385,-0.5000000000000004,10.5,0.0,0.0,0.0,,0.0,7.666666666666667,0.0,103.068,100.586,2.3,11.89,307739.0,304831.3333333333,0.0,0.0
2023-09,Andalucía,19,Andalucía,102.763,100.515,3.5,11.89,19.0,284714.0,391554.0,6.673363445422424e-05,4.852459686275712e-05,9,3,2023,9,-1.0,-1.8369701987210297e-16,10.5,0.0,0.0,0.0,,0.0,7.666666666666667,0.0,81.579,99.789,2.6,11.89,301542.0,304040.6666666667,0.0,0.0
2023-10,Andalucía,43,Andalucía,103.78,99.789,3.5,11.8,43.0,288953.0,438285.0,0.0001488131287787,9.81096774929555e-05,10,4,2023,10,-0.8660254037844386,0.5000000000000001,10.5,19.0,0.0,0.0,,6.333333333333333,10.833333333333334,10.969655114602885,102.763,100.515,3.5,11.89,284714.0,297998.3333333333,6.673363445422424e-05,2.2244544818074745e-05
2023-11,Andalucía,159,Andalucía,107.632,101.024,3.2,11.8,159.0,284276.0,430273.0,0.0005593155947037,0.0003695328314814,11,4,2023,11,-0.5000000000000004,0.8660254037844384,10.5,43.0,19.0,0.0,,20.666666666666668,10.333333333333334,21.54839514519198,103.78,99.789,3.5,11.8,288953.0,291736.3333333333,0.0001488131287787,7.184892107764141e-05
2023-12,Andalucía,85,Andalucía,89.019,99.95,3.1,11.8,85.0,282854.0,427250.0,0.0003005083894871,0.0001989467524868,12,4,2023,12,-2.4492935982947064e-16,1.0,10.5,159.0,43.0,19.0,,73.66666666666667,36.833333333333336,74.86877408728778,107.632,101.024,3.2,11.8,284276.0,285981.0,0.0005593155947037,0.0002582874526455414
