Fecha,IPI_original,IPI_ajustado,IPC_var_anual,Tasa_paro
2023-01,97.874,101.664,5.9,13.38
2023-02,99.947,100.678,6.0,13.38
2023-03,113.733,102.479,3.3,13.38
2023-04,93.271,101.097,4.1,11.67
2023-05,108.291,100.41,3.2,11.67
2023-06,106.84,100.78,1.9,11.67
2023-07,103.068,100.586,2.3,11.89
2023-08,81.579,99.789,2.6,11.89
2023-09,102.763,100.515,3.5,11.89
2023-10,103.78,99.789,3.5,11.8
2023-11,107.632,101.024,3.2,11.8
2023-12,89.019,99.95,3.1,11.8
2024-01,101.649,102.249,3.4,12.29
2024-02,104.175,103.69,2.8,12.29
2024-03,99.972,101.232,3.2,12.29
2024-04,104.405,100.811,3.3,11.27
2024-05,108.032,100.353,3.6,11.27
2024-06,102.129,100.857,3.4,11.27
2024-07,107.615,99.89,2.8,11.21
2024-08,78.449,99.159,2.3,11.21
2024-09,102.926,101.1,1.5,11.21
2024-10,110.402,102.212,1.8,10.61
2024-11,103.868,99.901,2.4,10.61
2024-12,92.81,102.184,2.8,10.61
2025-01,100.252,101.358,2.9,11.36
2025-02,101.758,102.243,3.0,11.36
2025-03,108.195,101.829,2.3,11.36
2025-04,98.442,101.399,2.2,10.29
2025-05,106.927,102.056,2.0,10.29
2025-06,106.826,102.858,2.3,10.29
2025-07,110.304,102.457,2.7,10.45
2025-08,78.612,102.328,2.7,10.45
2025-09,107.429,102.691,3.0,10.45
2025-10,112.085,103.28,3.1,9.93
2025-11,106.113,104.433,3.0,9.93
2025-12,95.598,101.989,2.9,9.93
