Año,Mandato_Energia_Pct,Status,Fuente
2016,4.3,Historico,RD 1085/2015 (4 dic 2015)
2017,5.0,Historico,RD 1085/2015 (4 dic 2015)
2018,6.0,Historico,RD 1085/2015 (4 dic 2015)
2019,7.0,Historico,RD 1085/2015 (4 dic 2015)
2020,8.5,Historico,RD 1085/2015 (4 dic 2015)
2021,9.5,Historico,RD 205/2021 (30 mar 2021)
2022,10.0,Historico,RD 205/2021 (30 mar 2021)
2023,10.5,Legislado,RD 376/2022 (17 may 2022)
2024,11.0,Legislado,RD 376/2022 (17 may 2022)
2025,11.5,Legislado,RD 376/2022 (17 may 2022)
2026,14.0,Legislado,RD 5/2026 (firmado 8 ene 2026; publicado BOE 10 ene 2026)
2027,15.5,Proyectado,Proyeccion interna del equipo: +1.5 pp anual sobre 2026; no existe Real Decreto publicado para este ano
2028,17.0,Proyectado,Proyeccion interna del equipo: +1.5 pp anual sobre 2027; no existe Real Decreto publicado para este ano
2029,18.5,Proyectado,Proyeccion interna del equipo: +1.5 pp anual sobre 2028; no existe Real Decreto publicado para este ano
2030,20.0,Proyectado,Proyeccion interna del equipo: +1.5 pp anual sobre 2029; no existe Real Decreto publicado para este ano
