Fecha Precio;Provincia;Producto;Promedio de Pai Diario CUBO €/litro;Promedio de Pvp Diario CUBO €/litro
2023-01-01;Albacete;Gasolina 95 E5;0,859;1,611
2023-01-01;Albacete;Gasolina 98 E5;0,967;1,779
2023-01-01;Albacete;Gasóleo A habitual;1,022;1,695
2023-01-01;Albacete;Gasóleo Premium;1,098;1,787
2023-01-01;Alicante/Alacant;Gasolina 95 E5;0,847;1,597
2023-01-01;Alicante/Alacant;Gasolina 98 E5;0,968;1,781
2023-01-01;Alicante/Alacant;Gasóleo A habitual;0,999;1,667
2023-01-01;Alicante/Alacant;Gasóleo Premium;1,089;1,777
2023-01-01;Almería;Gasolina 95 E5;0,839;1,587
2023-01-01;Almería;Gasolina 98 E5;0,966;1,778
2023-01-01;Almería;Gasóleo A habitual;0,984;1,65
2023-01-01;Almería;Gasóleo Premium;1,07;1,753
2023-01-01;Araba/Álava;Gasolina 95 E5;0,877;1,633
2023-01-01;Araba/Álava;Gasolina 98 E5;0,977;1,792
2023-01-01;Araba/Álava;Gasóleo A habitual;1,037;1,713
2023-01-01;Araba/Álava;Gasóleo Premium;1,126;1,821
2023-01-01;Asturias;Gasolina 95 E5;0,886;1,644
2023-01-01;Asturias;Gasolina 98 E5;0,976;1,791
2023-01-01;Asturias;Gasóleo A habitual;1,021;1,694
2023-01-01;Asturias;Gasóleo Premium;1,091;1,779
2023-01-01;Ávila;Gasolina 95 E5;0,87;1,625
2023-01-01;Ávila;Gasolina 98 E5;0,993;1,811
2023-01-01;Ávila;Gasóleo A habitual;1,022;1,696
2023-01-01;Ávila;Gasóleo Premium;1,101;1,791
2023-01-01;Badajoz;Gasolina 95 E5;0,847;1,596
2023-01-01;Badajoz;Gasolina 98 E5;0,958;1,769
2023-01-01;Badajoz;Gasóleo A habitual;1,008;1,679
2023-01-01;Badajoz;Gasóleo Premium;1,087;1,774
2023-01-01;Balears, Illes;Gasolina 95 E5;0,891;1,65
2023-01-01;Balears, Illes;Gasolina 98 E5;0,985;1,802
2023-01-01;Balears, Illes;Gasóleo A habitual;1,061;1,742
2023-01-01;Balears, Illes;Gasóleo Premium;1,119;1,812
2023-01-01;Barcelona;Gasolina 95 E5;0,845;1,595
2023-01-01;Barcelona;Gasolina 98 E5;0,964;1,776
2023-01-01;Barcelona;Gasóleo A habitual;0,996;1,664
2023-01-01;Barcelona;Gasóleo Premium;1,076;1,761
2023-01-01;Bizkaia;Gasolina 95 E5;0,873;1,629
2023-01-01;Bizkaia;Gasolina 98 E5;0,986;1,802
2023-01-01;Bizkaia;Gasóleo A habitual;1,043;1,72
2023-01-01;Bizkaia;Gasóleo Premium;1,12;1,814
2023-01-01;Burgos;Gasolina 95 E5;0,886;1,644
2023-01-01;Burgos;Gasolina 98 E5;1,003;1,823
2023-01-01;Burgos;Gasóleo A habitual;1,022;1,695
2023-01-01;Burgos;Gasóleo Premium;1,098;1,787
2023-01-01;Cáceres;Gasolina 95 E5;0,848;1,597
2023-01-01;Cáceres;Gasolina 98 E5;0,97;1,784
2023-01-01;Cáceres;Gasóleo A habitual;1,021;1,694
2023-01-01;Cáceres;Gasóleo Premium;1,103;1,793
2023-01-01;Cádiz;Gasolina 95 E5;0,845;1,595
2023-01-01;Cádiz;Gasolina 98 E5;0,94;1,748
2023-01-01;Cádiz;Gasóleo A habitual;1,006;1,676
2023-01-01;Cádiz;Gasóleo Premium;1,082;1,768
2023-01-01;Cantabria;Gasolina 95 E5;0,88;1,637
2023-01-01;Cantabria;Gasolina 98 E5;0,985;1,801
2023-01-01;Cantabria;Gasóleo A habitual;1,032;1,707
2023-01-01;Cantabria;Gasóleo Premium;1,104;1,795
2023-01-01;Castellón/Castelló;Gasolina 95 E5;0,848;1,598
2023-01-01;Castellón/Castelló;Gasolina 98 E5;0,948;1,757
2023-01-01;Castellón/Castelló;Gasóleo A habitual;0,996;1,664
2023-01-01;Castellón/Castelló;Gasóleo Premium;1,082;1,768
2023-01-01;Ceuta;Gasolina 95 E5;1,062;1,269
2023-01-01;Ceuta;Gasolina 98 E5;1,077;1,299
2023-01-01;Ceuta;Gasóleo A habitual;1,19;1,35
2023-01-01;Ceuta;Gasóleo Premium;1,228;1,388
2023-01-01;Ciudad Real;Gasolina 95 E5;0,83;1,576
2023-01-01;Ciudad Real;Gasolina 98 E5;0,957;1,768
2023-01-01;Ciudad Real;Gasóleo A habitual;1,005;1,675
2023-01-01;Ciudad Real;Gasóleo Premium;1,093;1,781
2023-01-01;Córdoba;Gasolina 95 E5;0,84;1,588
2023-01-01;Córdoba;Gasolina 98 E5;0,933;1,739
2023-01-01;Córdoba;Gasóleo A habitual;0,998;1,667
2023-01-01;Córdoba;Gasóleo Premium;1,07;1,753
2023-01-01;Coruña, A;Gasolina 95 E5;0,877;1,633
2023-01-01;Coruña, A;Gasolina 98 E5;0,988;1,805
2023-01-01;Coruña, A;Gasóleo A habitual;1,025;1,698
2023-01-01;Coruña, A;Gasóleo Premium;1,09;1,777
2023-01-01;Cuenca;Gasolina 95 E5;0,86;1,613
2023-01-01;Cuenca;Gasolina 98 E5;0,973;1,788
2023-01-01;Cuenca;Gasóleo A habitual;1,026;1,7
2023-01-01;Cuenca;Gasóleo Premium;1,118;1,811
2023-01-01;Gipuzkoa;Gasolina 95 E5;0,882;1,64
2023-01-01;Gipuzkoa;Gasolina 98 E5;0,98;1,795
2023-01-01;Gipuzkoa;Gasóleo A habitual;1,044;1,721
2023-01-01;Gipuzkoa;Gasóleo Premium;1,114;1,806
2023-01-01;Girona;Gasolina 95 E5;0,839;1,587
2023-01-01;Girona;Gasolina 98 E5;0,957;1,768
2023-01-01;Girona;Gasóleo A habitual;0,999;1,668
2023-01-01;Girona;Gasóleo Premium;1,083;1,769
2023-01-01;Granada;Gasolina 95 E5;0,852;1,603
2023-01-01;Granada;Gasolina 98 E5;0,943;1,75
2023-01-01;Granada;Gasóleo A habitual;0,994;1,662
2023-01-01;Granada;Gasóleo Premium;1,067;1,75
2023-01-01;Guadalajara;Gasolina 95 E5;0,845;1,594
2023-01-01;Guadalajara;Gasolina 98 E5;0,941;1,748
2023-01-01;Guadalajara;Gasóleo A habitual;1,022;1,695
2023-01-01;Guadalajara;Gasóleo Premium;1,089;1,777
2023-01-01;Huelva;Gasolina 95 E5;0,87;1,625
2023-01-01;Huelva;Gasolina 98 E5;0,978;1,793
2023-01-01;Huelva;Gasóleo A habitual;1,035;1,711
2023-01-01;Huelva;Gasóleo Premium;1,11;1,801
2023-01-01;Huesca;Gasolina 95 E5;0,849;1,599
2023-01-01;Huesca;Gasolina 98 E5;0,96;1,772
2023-01-01;Huesca;Gasóleo A habitual;0,997;1,665
2023-01-01;Huesca;Gasóleo Premium;1,071;1,755
2023-01-01;Jaén;Gasolina 95 E5;0,846;1,595
2023-01-01;Jaén;Gasolina 98 E5;0,957;1,767
2023-01-01;Jaén;Gasóleo A habitual;1,017;1,689
2023-01-01;Jaén;Gasóleo Premium;1,09;1,777
2023-01-01;León;Gasolina 95 E5;0,876;1,632
2023-01-01;León;Gasolina 98 E5;0,981;1,796
2023-01-01;León;Gasóleo A habitual;1,013;1,684
2023-01-01;León;Gasóleo Premium;1,076;1,761
2023-01-01;Lleida;Gasolina 95 E5;0,821;1,565
2023-01-01;Lleida;Gasolina 98 E5;0,941;1,749
2023-01-01;Lleida;Gasóleo A habitual;0,973;1,636
2023-01-01;Lleida;Gasóleo Premium;1,059;1,74
2023-01-01;Lugo;Gasolina 95 E5;0,863;1,617
2023-01-01;Lugo;Gasolina 98 E5;0,96;1,772
2023-01-01;Lugo;Gasóleo A habitual;1,025;1,699
2023-01-01;Lugo;Gasóleo Premium;1,101;1,79
2023-01-01;Madrid;Gasolina 95 E5;0,858;1,61
2023-01-01;Madrid;Gasolina 98 E5;0,968;1,781
2023-01-01;Madrid;Gasóleo A habitual;1,025;1,699
2023-01-01;Madrid;Gasóleo Premium;1,106;1,796
2023-01-01;Málaga;Gasolina 95 E5;0,871;1,626
2023-01-01;Málaga;Gasolina 98 E5;0,975;1,79
2023-01-01;Málaga;Gasóleo A habitual;1,016;1,687
2023-01-01;Málaga;Gasóleo Premium;1,096;1,785
2023-01-01;Melilla;Gasolina 95 E5;1,007;1,184
2023-01-01;Melilla;Gasóleo A habitual;1,137;1,249
2023-01-01;Melilla;Gasóleo Premium;1,178;1,292
2023-01-01;Murcia;Gasolina 95 E5;0,838;1,586
2023-01-01;Murcia;Gasolina 98 E5;0,939;1,746
2023-01-01;Murcia;Gasóleo A habitual;0,99;1,657
2023-01-01;Murcia;Gasóleo Premium;1,058;1,739
2023-01-01;Navarra;Gasolina 95 E5;0,86;1,613
2023-01-01;Navarra;Gasolina 98 E5;0,975;1,79
2023-01-01;Navarra;Gasóleo A habitual;1,002;1,671
2023-01-01;Navarra;Gasóleo Premium;1,086;1,772
2023-01-01;Ourense;Gasolina 95 E5;0,88;1,637
2023-01-01;Ourense;Gasolina 98 E5;0,983;1,799
2023-01-01;Ourense;Gasóleo A habitual;1,032;1,708
2023-01-01;Ourense;Gasóleo Premium;1,103;1,793
2023-01-01;Palencia;Gasolina 95 E5;0,87;1,624
2023-01-01;Palencia;Gasolina 98 E5;0,95;1,76
2023-01-01;Palencia;Gasóleo A habitual;1,029;1,704
2023-01-01;Palencia;Gasóleo Premium;1,093;1,781
2023-01-01;Palmas, Las;Gasolina 95 E5;1,071;1,363
2023-01-01;Palmas, Las;Gasolina 98 E5;1,21;1,502
2023-01-01;Palmas, Las;Gasóleo A habitual;1,169;1,417
2023-01-01;Palmas, Las;Gasóleo Premium;1,301;1,549
2023-01-01;Pontevedra;Gasolina 95 E5;0,869;1,624
2023-01-01;Pontevedra;Gasolina 98 E5;0,978;1,792
2023-01-01;Pontevedra;Gasóleo A habitual;1,024;1,697
2023-01-01;Pontevedra;Gasóleo Premium;1,097;1,786
2023-01-01;Rioja, La;Gasolina 95 E5;0,879;1,635
2023-01-01;Rioja, La;Gasolina 98 E5;0,977;1,792
2023-01-01;Rioja, La;Gasóleo A habitual;1,015;1,687
2023-01-01;Rioja, La;Gasóleo Premium;1,087;1,774
2023-01-01;Salamanca;Gasolina 95 E5;0,862;1,615
2023-01-01;Salamanca;Gasolina 98 E5;0,972;1,786
2023-01-01;Salamanca;Gasóleo A habitual;1,035;1,71
2023-01-01;Salamanca;Gasóleo Premium;1,116;1,809
2023-01-01;Santa Cruz de Tenerife;Gasolina 95 E5;1,018;1,309
2023-01-01;Santa Cruz de Tenerife;Gasolina 98 E5;1,138;1,43
2023-01-01;Santa Cruz de Tenerife;Gasóleo A habitual;1,149;1,396
2023-01-01;Santa Cruz de Tenerife;Gasóleo Premium;1,271;1,518
2023-01-01;Segovia;Gasolina 95 E5;0,849;1,599
2023-01-01;Segovia;Gasolina 98 E5;0,978;1,793
2023-01-01;Segovia;Gasóleo A habitual;0,995;1,662
2023-01-01;Segovia;Gasóleo Premium;1,075;1,759
2023-01-01;Sevilla;Gasolina 95 E5;0,843;1,591
2023-01-01;Sevilla;Gasolina 98 E5;0,958;1,768
2023-01-01;Sevilla;Gasóleo A habitual;1,01;1,68
2023-01-01;Sevilla;Gasóleo Premium;1,092;1,78
2023-01-01;Soria;Gasolina 95 E5;0,858;1,611
2023-01-01;Soria;Gasolina 98 E5;0,963;1,775
2023-01-01;Soria;Gasóleo A habitual;0,996;1,664
2023-01-01;Soria;Gasóleo Premium;1,065;1,747
2023-01-01;Tarragona;Gasolina 95 E5;0,826;1,571
2023-01-01;Tarragona;Gasolina 98 E5;0,936;1,742
2023-01-01;Tarragona;Gasóleo A habitual;0,981;1,645
2023-01-01;Tarragona;Gasóleo Premium;1,064;1,746
2023-01-01;Teruel;Gasolina 95 E5;0,849;1,599
