Fecha,Target,Model,Forecast,CI_Lower,CI_Upper
2026-01,Nacional,SARIMA,23390.3,21193.1,25815.3
2026-02,Nacional,SARIMA,23924.3,19903.1,28757.8
2026-03,Nacional,SARIMA,24678.4,18971.0,32102.9
2026-04,Nacional,SARIMA,25247.2,18069.5,35276.1
2026-05,Nacional,SARIMA,26139.0,17540.0,38953.4
2026-06,Nacional,SARIMA,26782.4,16952.4,42312.1
2026-07,Nacional,SARIMA,27225.0,16338.0,45366.4
2026-08,Nacional,SARIMA,26432.5,15102.6,46261.6
2026-09,Nacional,SARIMA,26298.5,14356.8,48172.2
2026-10,Nacional,SARIMA,26484.3,13855.3,50623.9
2026-11,Nacional,SARIMA,26502.1,13319.6,52730.3
2026-12,Nacional,SARIMA,26806.4,12970.7,55399.1
2027-01,Nacional,SARIMA,26897.2,12514.5,57808.2
2027-02,Nacional,SARIMA,26959.4,12063.2,60248.3
2027-03,Nacional,SARIMA,27044.3,11647.6,62792.1
2027-04,Nacional,SARIMA,27106.8,11249.3,65315.6
2027-05,Nacional,SARIMA,27201.8,10890.7,67940.3
2027-06,Nacional,SARIMA,27268.6,10544.9,70512.6
2027-07,Nacional,SARIMA,27313.7,10213.6,73041.2
2027-08,Nacional,SARIMA,27232.6,9857.4,75231.8
2027-09,Nacional,SARIMA,27218.7,9546.4,77603.0
2027-10,Nacional,SARIMA,27238.0,9264.9,80074.1
2027-11,Nacional,SARIMA,27239.9,8993.4,82501.7
2027-12,Nacional,SARIMA,27271.2,8746.2,85029.0
2026-01,Madrid,SARIMA,3106.4,2683.9,3595.4
2026-02,Madrid,SARIMA,3234.6,2647.2,3952.3
2026-03,Madrid,SARIMA,3361.2,2649.0,4264.8
2026-04,Madrid,SARIMA,3478.4,2663.3,4542.7
2026-05,Madrid,SARIMA,3588.2,2684.7,4795.7
2026-06,Madrid,SARIMA,3691.7,2710.1,5028.7
2026-07,Madrid,SARIMA,3780.5,2731.5,5232.2
2026-08,Madrid,SARIMA,3848.3,2743.3,5398.3
2026-09,Madrid,SARIMA,3923.4,2764.8,5567.4
2026-10,Madrid,SARIMA,3987.7,2782.4,5715.1
2026-11,Madrid,SARIMA,4055.5,2805.4,5862.3
2026-12,Madrid,SARIMA,4109.4,2821.5,5984.9
2027-01,Madrid,SARIMA,4161.6,2837.9,6102.5
2027-02,Madrid,SARIMA,4209.1,2853.1,6209.2
2027-03,Madrid,SARIMA,4252.2,2867.2,6306.0
2027-04,Madrid,SARIMA,4291.2,2880.1,6393.4
2027-05,Madrid,SARIMA,4326.5,2892.0,6472.5
2027-06,Madrid,SARIMA,4358.5,2902.8,6543.9
2027-07,Madrid,SARIMA,4387.3,2912.6,6608.3
2027-08,Madrid,SARIMA,4413.1,2921.4,6666.1
2027-09,Madrid,SARIMA,4436.5,2929.5,6718.4
2027-10,Madrid,SARIMA,4457.6,2936.8,6765.5
2027-11,Madrid,SARIMA,4476.6,2943.5,6808.1
2027-12,Madrid,SARIMA,4493.7,2949.5,6846.2
2026-01,Cataluña,SARIMA,3337.9,2688.9,4143.4
2026-02,Cataluña,SARIMA,3376.4,2388.1,4773.7
2026-03,Cataluña,SARIMA,3381.0,2139.0,5343.9
2026-04,Cataluña,SARIMA,3389.5,1961.3,5857.2
2026-05,Cataluña,SARIMA,3396.2,1820.2,6335.7
2026-06,Cataluña,SARIMA,3399.6,1702.0,6789.4
2026-07,Cataluña,SARIMA,3402.5,1601.0,7230.0
2026-08,Cataluña,SARIMA,3392.6,1507.4,7634.0
2026-09,Cataluña,SARIMA,3387.0,1426.5,8040.0
2026-10,Cataluña,SARIMA,3399.1,1361.2,8485.5
2026-11,Cataluña,SARIMA,3394.7,1296.0,8888.9
2026-12,Cataluña,SARIMA,3397.9,1239.6,9311.3
2027-01,Cataluña,SARIMA,3397.6,1185.8,9731.2
2027-02,Cataluña,SARIMA,3398.0,1136.5,10155.7
2027-03,Cataluña,SARIMA,3398.1,1090.8,10581.5
2027-04,Cataluña,SARIMA,3398.2,1048.4,11009.5
2027-05,Cataluña,SARIMA,3398.3,1009.0,11440.0
2027-06,Cataluña,SARIMA,3398.3,972.1,11873.2
2027-07,Cataluña,SARIMA,3398.3,937.7,12309.6
2027-08,Cataluña,SARIMA,3398.2,905.3,12748.9
