Fecha,Target,Model,Forecast
2026-01,Andalucía,SARIMA,1813.1
2026-02,Andalucía,SARIMA,1847.0
2026-03,Andalucía,SARIMA,1835.0
2026-04,Andalucía,SARIMA,1839.2
2026-05,Andalucía,SARIMA,1837.7
2026-06,Andalucía,SARIMA,1838.2
2026-07,Andalucía,SARIMA,1838.0
2026-08,Andalucía,SARIMA,1838.1
2026-09,Andalucía,SARIMA,1838.1
2026-10,Andalucía,SARIMA,1838.1
2026-11,Andalucía,SARIMA,1838.1
2026-12,Andalucía,SARIMA,1838.1
2027-01,Andalucía,SARIMA,1838.1
2027-02,Andalucía,SARIMA,1838.1
2027-03,Andalucía,SARIMA,1838.1
2027-04,Andalucía,SARIMA,1838.1
2027-05,Andalucía,SARIMA,1838.1
2027-06,Andalucía,SARIMA,1838.1
2027-07,Andalucía,SARIMA,1838.1
2027-08,Andalucía,SARIMA,1838.1
2027-09,Andalucía,SARIMA,1838.1
2027-10,Andalucía,SARIMA,1838.1
2027-11,Andalucía,SARIMA,1838.1
2027-12,Andalucía,SARIMA,1838.1
2026-01,Cataluña,SARIMAX,3345.5
2026-02,Cataluña,SARIMAX,3492.1
2026-03,Cataluña,SARIMAX,3228.4
2026-04,Cataluña,SARIMAX,3082.6
2026-05,Cataluña,SARIMAX,3206.7
2026-06,Cataluña,SARIMAX,4000.7
2026-07,Cataluña,SARIMAX,4703.2
2026-08,Cataluña,SARIMAX,5042.8
2026-09,Cataluña,SARIMAX,5689.3
2026-10,Cataluña,SARIMAX,4603.0
2026-11,Cataluña,SARIMAX,3539.4
2026-12,Cataluña,SARIMAX,3315.4
2027-01,Cataluña,SARIMAX,3278.3
2027-02,Cataluña,SARIMAX,3366.5
2027-03,Cataluña,SARIMAX,3393.6
2027-04,Cataluña,SARIMAX,3216.0
2027-05,Cataluña,SARIMAX,3742.8
2027-06,Cataluña,SARIMAX,4077.3
2027-07,Cataluña,SARIMAX,4771.0
2027-08,Cataluña,SARIMAX,4473.3
2027-09,Cataluña,SARIMAX,5412.5
2027-10,Cataluña,SARIMAX,4866.0
2027-11,Cataluña,SARIMAX,3925.0
2027-12,Cataluña,SARIMAX,4054.2
2026-01,Madrid,Logistic,3486.4
2026-02,Madrid,Logistic,3583.4
2026-03,Madrid,Logistic,3682.4
2026-04,Madrid,Logistic,3769.9
2026-05,Madrid,Logistic,3832.9
2026-06,Madrid,Logistic,3863.1
2026-07,Madrid,Logistic,3859.6
2026-08,Madrid,Logistic,3828.7
2026-09,Madrid,Logistic,3783.2
2026-10,Madrid,Logistic,3739.1
2026-11,Madrid,Logistic,3710.9
2026-12,Madrid,Logistic,3708.5
2027-01,Madrid,Logistic,3734.4
2027-02,Madrid,Logistic,3783.1
2027-03,Madrid,Logistic,3842.8
2027-04,Madrid,Logistic,3898.3
2027-05,Madrid,Logistic,3935.5
2027-06,Madrid,Logistic,3945.1
2027-07,Madrid,Logistic,3924.9
2027-08,Madrid,Logistic,3880.7
2027-09,Madrid,Logistic,3824.6
2027-10,Madrid,Logistic,3772.0
2027-11,Madrid,Logistic,3737.0
2027-12,Madrid,Logistic,3729.3
2026-01,Nacional,SARIMA,23569.4
2026-02,Nacional,SARIMA,24173.9
2026-03,Nacional,SARIMA,24936.9
2026-04,Nacional,SARIMA,25495.8
2026-05,Nacional,SARIMA,26357.8
2026-06,Nacional,SARIMA,26975.6
2026-07,Nacional,SARIMA,27398.6
2026-08,Nacional,SARIMA,26628.5
2026-09,Nacional,SARIMA,26496.0
2026-10,Nacional,SARIMA,26673.9
2026-11,Nacional,SARIMA,26689.7
2026-12,Nacional,SARIMA,26983.1
2027-01,Nacional,SARIMA,27090.3
2027-02,Nacional,SARIMA,27157.3
2027-03,Nacional,SARIMA,27239.4
2027-04,Nacional,SARIMA,27298.0
2027-05,Nacional,SARIMA,27386.0
2027-06,Nacional,SARIMA,27447.4
2027-07,Nacional,SARIMA,27488.8
2027-08,Nacional,SARIMA,27413.1
2027-09,Nacional,SARIMA,27399.9
2027-10,Nacional,SARIMA,27417.6
2027-11,Nacional,SARIMA,27419.2
2027-12,Nacional,SARIMA,27448.2
2026-01,Valencia,Gompertz,1212.4
2026-02,Valencia,Gompertz,1271.5
2026-03,Valencia,Gompertz,1340.3
2026-04,Valencia,Gompertz,1411.5
2026-05,Valencia,Gompertz,1476.5
2026-06,Valencia,Gompertz,1527.8
2026-07,Valencia,Gompertz,1560.8
2026-08,Valencia,Gompertz,1575.5
2026-09,Valencia,Gompertz,1575.9
2026-10,Valencia,Gompertz,1569.5
2026-11,Valencia,Gompertz,1564.9
2026-12,Valencia,Gompertz,1569.9
2027-01,Valencia,Gompertz,1589.2
2027-02,Valencia,Gompertz,1623.0
2027-03,Valencia,Gompertz,1667.6
2027-04,Valencia,Gompertz,1715.7
2027-05,Valencia,Gompertz,1758.8
2027-06,Valencia,Gompertz,1789.3
2027-07,Valencia,Gompertz,1802.9
2027-08,Valencia,Gompertz,1799.2
2027-09,Valencia,Gompertz,1782.4
2027-10,Valencia,Gompertz,1759.9
2027-11,Valencia,Gompertz,1740.4
2027-12,Valencia,Gompertz,1731.5
