Target,Model,MAE,RMSE,MAPE,R2
Nacional,SARIMA,5312.2,5773.6,34.4,-0.388
Madrid,SARIMA,9097.7,11968.5,318.6,-312.865
Cataluña,SARIMA,1557.8,1794.1,50.1,-7.182
Andalucía,SARIMA,898.8,1077.9,52.6,-1.929
Valencia,SARIMA,640.7,719.4,66.0,-4.828
Nacional,RF (baseline),11007.0,11985.7,57.0,-4.984
Nacional,XGB (baseline),11814.5,12587.2,62.6,-5.599
Madrid,RF (baseline),1802.1,1926.8,64.0,-7.135
Madrid,XGB (baseline),1840.0,1949.9,66.0,-7.331
Cataluña,RF (baseline),1773.4,1882.6,59.6,-8.009
Cataluña,XGB (baseline),1786.5,1891.6,60.1,-8.095
Andalucía,RF (baseline),986.9,1174.0,56.7,-2.475
Andalucía,XGB (baseline),1056.0,1203.7,65.9,-2.653
Valencia,RF (baseline),573.2,637.9,59.9,-3.581
Valencia,XGB (baseline),522.3,605.5,52.1,-3.128
Nacional,RF+Prices,11005.0,11958.9,57.1,
Nacional,XGB+Prices,11451.1,12361.6,59.8,
Madrid,RF+Prices,1833.2,1943.4,65.6,
Madrid,XGB+Prices,1710.9,1799.7,61.9,
Cataluña,RF+Prices,1773.9,1871.1,59.9,
Cataluña,XGB+Prices,1709.9,1802.6,57.8,
Andalucía,RF+Prices,987.8,1167.2,57.5,
Andalucía,XGB+Prices,1046.7,1194.7,65.1,
Valencia,RF+Prices,576.9,638.6,60.6,
Valencia,XGB+Prices,537.7,614.0,54.7,
