Target,Model,MAE,RMSE,MAPE,R2
Nacional,SARIMA,4277.7,4921.5,29.0,-0.009
Madrid,SARIMA,9097.9,11968.7,318.7,-312.876
Cataluña,SARIMA,1428.6,1613.8,47.2,-5.62
Andalucía,SARIMA,897.9,1077.0,52.5,-1.924
Valencia,SARIMA,573.8,661.8,57.4,-3.932
Nacional,RF (baseline),11104.8,12051.2,57.7,-5.049
Nacional,XGB (baseline),11995.5,12704.8,64.0,-5.723
Madrid,RF (baseline),1826.1,1938.2,65.2,-7.231
Madrid,XGB (baseline),1748.4,1839.2,63.1,-6.412
Cataluña,RF (baseline),1768.8,1868.2,59.7,-7.871
Cataluña,XGB (baseline),1808.0,1887.0,61.7,-8.052
Andalucía,RF (baseline),975.9,1159.9,56.2,-2.392
Andalucía,XGB (baseline),1048.5,1200.1,64.9,-2.631
Valencia,RF (baseline),581.3,638.7,61.6,-3.593
Valencia,XGB (baseline),541.2,622.7,54.6,-3.366
Nacional,RF+Precios,10962.8,11922.4,56.9,
Nacional,XGB+Precios,11451.1,12361.6,59.8,
Madrid,RF+Precios,1797.6,1910.9,64.1,
Madrid,XGB+Precios,1710.9,1799.7,61.9,
Cataluña,RF+Precios,1785.0,1879.2,60.4,
Cataluña,XGB+Precios,1709.9,1802.6,57.8,
Andalucía,RF+Precios,991.5,1172.9,57.6,
Andalucía,XGB+Precios,1046.3,1194.4,65.1,
Valencia,RF+Precios,568.3,632.6,59.3,
Valencia,XGB+Precios,537.7,614.0,54.7,
