Target,Model,MAE,RMSE,MAPE,R2
Nacional,SARIMA,4277.6,4921.4,29.0,-0.009
Nacional,Ridge,426489.0,604460.5,2114.5,-15217.416
Nacional,Random Forest,11221.7,12173.6,58.3,-5.173
Nacional,XGBoost,11769.9,12560.1,62.3,-5.571
Madrid,SARIMA,9097.8,11968.6,318.6,-312.873
Madrid,Ridge,37411.2,52590.4,1305.5,-6059.091
Madrid,Random Forest,1844.8,1956.9,66.0,-7.391
Madrid,XGBoost,1727.1,1827.3,61.9,-6.317
Cataluña,SARIMA,1428.6,1613.8,47.2,-5.62
Cataluña,Ridge,116216.0,168898.3,3853.0,-72512.158
Cataluña,Random Forest,1789.5,1893.3,60.3,-8.112
Cataluña,XGBoost,1752.4,1843.2,59.4,-7.636
Andalucía,SARIMA,897.9,1077.0,52.5,-1.924
Andalucía,Ridge,1132017.6,1777554.7,66471.1,-7965449.141
Andalucía,Random Forest,977.8,1157.9,56.7,-2.38
Andalucía,XGBoost,1054.9,1199.6,66.1,-2.628
Valencia,SARIMA,573.8,661.8,57.4,-3.932
Valencia,Ridge,1293121.2,1906979.4,126601.3,-40948578.567
Valencia,Random Forest,579.9,637.5,61.5,-3.577
Valencia,XGBoost,564.4,627.7,59.3,-3.437
