Fecha,Serie,Scenario,Forecast_Tm
2026-01,Nacional,Conservative,22260.3
2026-02,Nacional,Conservative,22696.3
2026-03,Nacional,Conservative,23336.3
2026-04,Nacional,Conservative,24068.4
2026-05,Nacional,Conservative,24750.0
2026-06,Nacional,Conservative,25246.4
2026-07,Nacional,Conservative,25467.7
2026-08,Nacional,Conservative,25393.0
2026-09,Nacional,Conservative,25076.6
2026-10,Nacional,Conservative,24633.8
2026-11,Nacional,Conservative,24210.6
2026-12,Nacional,Conservative,23944.4
2027-01,Nacional,Conservative,23928.1
2027-02,Nacional,Conservative,24185.1
2027-03,Nacional,Conservative,24663.5
2027-04,Nacional,Conservative,25250.0
2027-05,Nacional,Conservative,25800.8
2027-06,Nacional,Conservative,26180.0
2027-07,Nacional,Conservative,26296.4
2027-08,Nacional,Conservative,26128.0
2027-09,Nacional,Conservative,25728.1
2027-10,Nacional,Conservative,25211.0
2027-11,Nacional,Conservative,24721.6
2027-12,Nacional,Conservative,24396.7
2026-01,Nacional,Central,22525.4
2026-02,Nacional,Central,23200.3
2026-03,Nacional,Central,24055.1
2026-04,Nacional,Central,24979.8
2026-05,Nacional,Central,25833.7
2026-06,Nacional,Central,26484.1
2026-07,Nacional,Central,26842.7
2026-08,Nacional,Central,26890.4
2026-09,Nacional,Central,26682.8
2026-10,Nacional,Central,26336.9
2026-11,Nacional,Central,25999.6
2026-12,Nacional,Central,25809.7
2027-01,Nacional,Central,25861.0
2027-02,Nacional,Central,26178.0
2027-03,Nacional,Central,26709.4
2027-04,Nacional,Central,27342.9
2027-05,Nacional,Central,27935.2
2027-06,Nacional,Central,28351.2
2027-07,Nacional,Central,28500.1
2027-08,Nacional,Central,28360.5
2027-09,Nacional,Central,27985.9
2027-10,Nacional,Central,27491.2
2027-11,Nacional,Central,27021.7
2027-12,Nacional,Central,26714.2
2026-01,Nacional,Optimistic,22790.6
2026-02,Nacional,Optimistic,23704.4
2026-03,Nacional,Optimistic,24773.8
2026-04,Nacional,Optimistic,25891.1
2026-05,Nacional,Optimistic,26917.3
2026-06,Nacional,Optimistic,27721.7
2026-07,Nacional,Optimistic,28217.7
2026-08,Nacional,Optimistic,28387.7
2026-09,Nacional,Optimistic,28289.1
2026-10,Nacional,Optimistic,28040.0
2026-11,Nacional,Optimistic,27788.6
2026-12,Nacional,Optimistic,27675.0
2027-01,Nacional,Optimistic,27793.9
2027-02,Nacional,Optimistic,28170.8
2027-03,Nacional,Optimistic,28755.3
2027-04,Nacional,Optimistic,29435.8
2027-05,Nacional,Optimistic,30069.7
2027-06,Nacional,Optimistic,30522.4
2027-07,Nacional,Optimistic,30703.8
2027-08,Nacional,Optimistic,30592.9
2027-09,Nacional,Optimistic,30243.8
2027-10,Nacional,Optimistic,29771.5
2027-11,Nacional,Optimistic,29321.7
2027-12,Nacional,Optimistic,29031.7
2026-01,Madrid,Conservative,3346.2
2026-02,Madrid,Conservative,3420.0
2026-03,Madrid,Conservative,3505.0
2026-04,Madrid,Conservative,3585.4
2026-05,Madrid,Conservative,3645.8
2026-06,Madrid,Conservative,3675.3
2026-07,Madrid,Conservative,3670.6
2026-08,Madrid,Conservative,3637.0
2026-09,Madrid,Conservative,3586.7
2026-10,Madrid,Conservative,3536.4
2026-11,Madrid,Conservative,3501.9
2026-12,Madrid,Conservative,3494.8
2027-01,Madrid,Conservative,3518.8
2027-02,Madrid,Conservative,3569.2
2027-03,Madrid,Conservative,3633.7
2027-04,Madrid,Conservative,3696.3
2027-05,Madrid,Conservative,3741.3
2027-06,Madrid,Conservative,3757.5
2027-07,Madrid,Conservative,3741.3
2027-08,Madrid,Conservative,3697.6
2027-09,Madrid,Conservative,3638.8
