Target,Model,Stage,Exception,Is_Degenerate,Count
Andalucía,SARIMAX,2025_holdout_evaluation,degenerate SARIMAX fit: mle_did_not_converge,True,1
Cataluña,SARIMAX,2025_holdout_evaluation,degenerate SARIMAX fit: mle_did_not_converge,True,1
Madrid,SARIMAX,2025_holdout_evaluation,degenerate SARIMAX fit: mle_did_not_converge,True,1
Nacional,SARIMAX,2025_holdout_evaluation,degenerate SARIMAX fit: mle_did_not_converge,True,1
Valencia,SARIMAX,2025_holdout_evaluation,degenerate SARIMAX fit: mle_did_not_converge,True,1
Andalucía,SARIMAX,production_24m_forecast,degenerate SARIMAX fit: mle_did_not_converge,True,1
Cataluña,SARIMAX,production_24m_forecast,degenerate SARIMAX fit: mle_did_not_converge,True,1
Madrid,SARIMAX,production_24m_forecast,degenerate SARIMAX fit: mle_did_not_converge,True,1
Valencia,SARIMAX,production_24m_forecast,degenerate SARIMAX fit: mle_did_not_converge,True,1
Andalucía,"SARIMA(0, 1, 1)(0, 1, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: mle_did_not_converge,True,1
Andalucía,"SARIMA(0, 1, 1)(0, 1, 0, 12)",sarima_order_grid_walk_forward,"too many indices for array: array is 0-dimensional, but 1 were indexed",False,1
Andalucía,"SARIMA(1, 0, 1)(1, 0, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: mle_did_not_converge,True,1
Andalucía,"SARIMA(1, 1, 0)(0, 1, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: mle_did_not_converge,True,3
Andalucía,"SARIMA(1, 1, 0)(0, 1, 0, 12)",sarima_order_grid_walk_forward,"too many indices for array: array is 0-dimensional, but 1 were indexed",False,1
Andalucía,"SARIMA(1, 1, 0)(1, 0, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: degenerate_sigma2_4.3e-09,True,1
Andalucía,"SARIMA(1, 1, 0)(1, 0, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: mle_did_not_converge,True,1
Andalucía,"SARIMA(1, 1, 1)(0, 1, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: mle_did_not_converge,True,1
Andalucía,"SARIMA(1, 1, 1)(0, 1, 0, 12)",sarima_order_grid_walk_forward,"too many indices for array: array is 0-dimensional, but 1 were indexed",False,1
Andalucía,"SARIMA(1, 1, 1)(1, 0, 0, 12)",sarima_order_grid_walk_forward,degenerate SARIMA fit: degenerate_sigma2_1.31e-09,True,1
