Target,Model,MAE,RMSE,MAPE,R2,Status
Madrid,Pooled Ridge,2747279.3,2982777.8,97649.1,-19494350.41,tested
Cataluña,Pooled Ridge,2724326.4,2981399.7,91390.8,-22594704.857,tested
Andalucía,Pooled Ridge,1911686.1,2495349.1,103355.0,-15697373.088,tested
Valencia,Pooled Ridge,1909472.0,2495924.7,177416.1,-70147108.446,tested
Madrid,Pooled Random Forest,1269.7,1438.1,43.0,-3.532,tested
Cataluña,Pooled Random Forest,1424.3,1556.5,46.8,-5.158,tested
Andalucía,Pooled Random Forest,852.2,1026.8,49.5,-1.658,tested
Valencia,Pooled Random Forest,437.0,493.9,59.5,-1.747,tested
Madrid,Pooled XGBoost,1595.6,1720.5,56.3,-5.486,tested
Cataluña,Pooled XGBoost,1738.2,1840.0,58.6,-7.606,tested
Andalucía,Pooled XGBoost,826.8,992.3,48.4,-1.482,tested
Valencia,Pooled XGBoost,270.7,328.1,35.6,-0.212,tested
