Target,p,d,q,P,D,Q,m,Parameter_Count,WalkForward_MAPE,Error_Count,Successful_Folds,Training_Origin_24m_Degenerate,Training_Origin_24m_Degeneracy_Reason,Selected
Nacional,1,1,1,1,0,0,12,3,39.701,66,11,False,,True
Nacional,0,1,1,1,0,0,12,2,57.774,66,11,False,,False
Nacional,1,1,0,1,0,0,12,2,41.43,66,11,False,,False
Nacional,2,1,1,1,0,0,12,4,58.315,66,11,False,,False
Nacional,1,1,2,1,0,0,12,4,45.028,66,11,False,,False
Nacional,0,1,2,1,0,0,12,3,58.852,66,11,False,,False
Nacional,2,1,0,1,0,0,12,3,59.428,66,11,False,,False
Nacional,1,0,1,1,0,0,12,3,68.635,66,11,False,,False
Nacional,1,1,1,0,0,0,12,2,66.655,66,11,True,near_flat_range_29.6165,False
Nacional,0,1,1,0,0,0,12,1,62.998,66,11,True,near_flat_range_0.0000,False
Nacional,1,1,0,0,0,0,12,1,63.562,66,11,True,near_flat_range_3.0040,False
Nacional,1,1,1,0,1,0,12,2,61.236,56,10,False,,False
Nacional,0,1,1,0,1,0,12,1,51.147,56,10,False,,False
Nacional,1,1,0,0,1,0,12,1,inf,56,10,False,,False
Nacional,1,1,1,1,0,1,12,4,56.374,66,11,False,,False
Madrid,1,1,1,1,0,0,12,3,84.3,66,11,False,,False
Madrid,0,1,1,1,0,0,12,2,79.239,66,11,True,near_flat_range_0.0517,False
Madrid,1,1,0,1,0,0,12,2,82.267,66,11,False,,False
Madrid,2,1,1,1,0,0,12,4,86.11,66,11,False,,False
Madrid,1,1,2,1,0,0,12,4,85.495,66,11,False,,False
Madrid,0,1,2,1,0,0,12,3,78.919,66,11,False,,False
Madrid,2,1,0,1,0,0,12,3,86.82,66,11,False,,False
Madrid,1,0,1,1,0,0,12,3,73.223,66,11,False,,True
Madrid,1,1,1,0,0,0,12,2,80.732,66,11,False,,False
Madrid,0,1,1,0,0,0,12,1,78.012,66,11,True,near_flat_range_0.0000,False
Madrid,1,1,0,0,0,0,12,1,74.294,66,11,False,,False
Madrid,1,1,1,0,1,0,12,2,92.339,56,10,False,,False
Madrid,0,1,1,0,1,0,12,1,88.99,56,10,False,,False
Madrid,1,1,0,0,1,0,12,1,inf,56,10,False,,False
Madrid,1,1,1,1,0,1,12,4,75.314,66,11,False,,False
Cataluña,1,1,1,1,0,0,12,3,87.501,66,11,False,,False
Cataluña,0,1,1,1,0,0,12,2,69.588,66,11,False,,True
Cataluña,1,1,0,1,0,0,12,2,87.17,66,11,False,,False
Cataluña,2,1,1,1,0,0,12,4,89.581,66,11,False,,False
Cataluña,1,1,2,1,0,0,12,4,88.169,66,11,False,,False
Cataluña,0,1,2,1,0,0,12,3,71.37,66,11,False,,False
Cataluña,2,1,0,1,0,0,12,3,88.877,66,11,False,,False
Cataluña,1,0,1,1,0,0,12,3,88.646,66,11,False,,False
Cataluña,1,1,1,0,0,0,12,2,78.502,66,11,False,,False
Cataluña,0,1,1,0,0,0,12,1,78.673,66,11,True,near_flat_range_0.0000,False
Cataluña,1,1,0,0,0,0,12,1,79.129,66,11,True,near_flat_range_0.3322,False
Cataluña,1,1,1,0,1,0,12,2,80.712,56,10,False,,False
Cataluña,0,1,1,0,1,0,12,1,78.198,56,10,False,,False
Cataluña,1,1,0,0,1,0,12,1,inf,56,10,False,,False
Cataluña,1,1,1,1,0,1,12,4,87.741,66,11,False,,False
Andalucía,1,1,1,1,0,0,12,3,80.635,66,11,False,,False
Andalucía,0,1,1,1,0,0,12,2,63.587,66,11,False,,False
Andalucía,1,1,0,1,0,0,12,2,79.759,66,11,False,,False
Andalucía,2,1,1,1,0,0,12,4,100.0,66,11,False,,False
Andalucía,1,1,2,1,0,0,12,4,71.551,66,11,False,,False
Andalucía,0,1,2,1,0,0,12,3,70.267,66,11,False,,False
Andalucía,2,1,0,1,0,0,12,3,78.783,66,11,False,,False
Andalucía,1,0,1,1,0,0,12,3,70.878,66,11,False,,False
Andalucía,1,1,1,0,0,0,12,2,53.908,66,11,False,,True
Andalucía,0,1,1,0,0,0,12,1,59.004,66,11,True,near_flat_range_0.0000,False
Andalucía,1,1,0,0,0,0,12,1,54.21,66,11,False,,False
Andalucía,1,1,1,0,1,0,12,2,672.985,56,10,False,,False
Andalucía,0,1,1,0,1,0,12,1,524.986,56,10,False,,False
Andalucía,1,1,0,0,1,0,12,1,inf,56,10,False,,False
Andalucía,1,1,1,1,0,1,12,4,77.957,66,11,False,,False
Valencia,1,1,1,1,0,0,12,3,59.27,66,11,False,,True
Valencia,0,1,1,1,0,0,12,2,89.279,66,11,False,,False
Valencia,1,1,0,1,0,0,12,2,78.228,66,11,False,,False
Valencia,2,1,1,1,0,0,12,4,85.77,66,11,False,,False
Valencia,1,1,2,1,0,0,12,4,74.822,66,11,False,,False
Valencia,0,1,2,1,0,0,12,3,89.675,66,11,False,,False
Valencia,2,1,0,1,0,0,12,3,94.659,66,11,False,,False
Valencia,1,0,1,1,0,0,12,3,100.0,66,11,False,,False
Valencia,1,1,1,0,0,0,12,2,91.036,66,11,False,,False
Valencia,0,1,1,0,0,0,12,1,69.763,66,11,True,near_flat_range_0.0000,False
Valencia,1,1,0,0,0,0,12,1,67.604,66,11,True,near_flat_range_0.2377,False
Valencia,1,1,1,0,1,0,12,2,99.732,56,10,False,,False
Valencia,0,1,1,0,1,0,12,1,99.165,56,10,False,,False
Valencia,1,1,0,0,1,0,12,1,inf,56,10,False,,False
Valencia,1,1,1,1,0,1,12,4,95.13,66,11,False,,False
