Fecha,Target,Model,Type,Valor
2023-01,Andalucía,Actual,Actual,0.0
2023-02,Andalucía,Actual,Actual,0.0
2023-03,Andalucía,Actual,Actual,0.0
2023-04,Andalucía,Actual,Actual,46.0
2023-05,Andalucía,Actual,Actual,0.0
2023-06,Andalucía,Actual,Actual,0.0
2023-07,Andalucía,Actual,Actual,0.0
2023-08,Andalucía,Actual,Actual,0.0
2023-09,Andalucía,Actual,Actual,19.0
2023-10,Andalucía,Actual,Actual,43.0
2023-11,Andalucía,Actual,Actual,159.0
2023-12,Andalucía,Actual,Actual,85.0
2024-01,Andalucía,Actual,Actual,92.0
2024-02,Andalucía,Actual,Actual,80.0
2024-03,Andalucía,Actual,Actual,104.0
2024-04,Andalucía,Actual,Actual,154.0
2024-05,Andalucía,Actual,Actual,355.0
2024-06,Andalucía,Actual,Actual,414.0
2024-07,Andalucía,Actual,Actual,616.0
2024-08,Andalucía,Actual,Actual,582.0
2024-09,Andalucía,Actual,Actual,440.0
2024-10,Andalucía,Actual,Actual,510.0
2024-11,Andalucía,Actual,Actual,608.0
2024-12,Andalucía,Actual,Actual,684.0
2025-01,Andalucía,Actual,Actual,590.0
2025-02,Andalucía,Actual,Actual,498.0
2025-03,Andalucía,Actual,Actual,804.0
2025-04,Andalucía,Actual,Actual,919.0
2025-05,Andalucía,Actual,Actual,1591.0
2025-06,Andalucía,Actual,Actual,2162.0
2025-07,Andalucía,Actual,Actual,2664.0
2025-08,Andalucía,Actual,Actual,1823.0
2025-09,Andalucía,Actual,Actual,1612.0
2025-10,Andalucía,Actual,Actual,1637.0
2025-11,Andalucía,Actual,Actual,1565.0
2025-12,Andalucía,Actual,Actual,1911.0
2023-01,Cataluña,Actual,Actual,85.0
2023-02,Cataluña,Actual,Actual,82.0
2023-03,Cataluña,Actual,Actual,119.0
2023-04,Cataluña,Actual,Actual,78.0
2023-05,Cataluña,Actual,Actual,169.0
2023-06,Cataluña,Actual,Actual,133.0
2023-07,Cataluña,Actual,Actual,170.0
2023-08,Cataluña,Actual,Actual,169.0
2023-09,Cataluña,Actual,Actual,109.0
2023-10,Cataluña,Actual,Actual,93.0
2023-11,Cataluña,Actual,Actual,84.0
2023-12,Cataluña,Actual,Actual,100.0
2024-01,Cataluña,Actual,Actual,96.0
2024-02,Cataluña,Actual,Actual,90.0
2024-03,Cataluña,Actual,Actual,103.0
2024-04,Cataluña,Actual,Actual,174.0
2024-05,Cataluña,Actual,Actual,184.0
2024-06,Cataluña,Actual,Actual,515.0
2024-07,Cataluña,Actual,Actual,903.0
2024-08,Cataluña,Actual,Actual,1036.0
2024-09,Cataluña,Actual,Actual,775.0
2024-10,Cataluña,Actual,Actual,1449.0
2024-11,Cataluña,Actual,Actual,1843.0
2024-12,Cataluña,Actual,Actual,2176.0
2025-01,Cataluña,Actual,Actual,1894.0
2025-02,Cataluña,Actual,Actual,1882.0
2025-03,Cataluña,Actual,Actual,2130.0
2025-04,Cataluña,Actual,Actual,2682.0
2025-05,Cataluña,Actual,Actual,3209.0
2025-06,Cataluña,Actual,Actual,3522.0
2025-07,Cataluña,Actual,Actual,3811.0
2025-08,Cataluña,Actual,Actual,2919.0
2025-09,Cataluña,Actual,Actual,2503.0
2025-10,Cataluña,Actual,Actual,3470.0
2025-11,Cataluña,Actual,Actual,3081.0
2025-12,Cataluña,Actual,Actual,3362.0
2023-01,Madrid,Actual,Actual,26.0
2023-02,Madrid,Actual,Actual,26.0
2023-03,Madrid,Actual,Actual,25.0
2023-04,Madrid,Actual,Actual,0.0
2023-05,Madrid,Actual,Actual,0.0
2023-06,Madrid,Actual,Actual,42.0
2023-07,Madrid,Actual,Actual,12.0
2023-08,Madrid,Actual,Actual,92.0
2023-09,Madrid,Actual,Actual,26.0
2023-10,Madrid,Actual,Actual,129.0
2023-11,Madrid,Actual,Actual,74.0
2023-12,Madrid,Actual,Actual,78.0
2024-01,Madrid,Actual,Actual,78.0
2024-02,Madrid,Actual,Actual,81.0
2024-03,Madrid,Actual,Actual,133.0
2024-04,Madrid,Actual,Actual,140.0
2024-05,Madrid,Actual,Actual,331.0
2024-06,Madrid,Actual,Actual,389.0
2024-07,Madrid,Actual,Actual,503.0
2024-08,Madrid,Actual,Actual,598.0
2024-09,Madrid,Actual,Actual,980.0
2024-10,Madrid,Actual,Actual,1335.0
2024-11,Madrid,Actual,Actual,1635.0
2024-12,Madrid,Actual,Actual,2067.0
2025-01,Madrid,Actual,Actual,1663.0
2025-02,Madrid,Actual,Actual,1640.0
2025-03,Madrid,Actual,Actual,2037.0
2025-04,Madrid,Actual,Actual,2431.0
2025-05,Madrid,Actual,Actual,2961.0
2025-06,Madrid,Actual,Actual,3747.0
2025-07,Madrid,Actual,Actual,3854.0
2025-08,Madrid,Actual,Actual,2698.0
2025-09,Madrid,Actual,Actual,2821.0
2025-10,Madrid,Actual,Actual,2617.0
2025-11,Madrid,Actual,Actual,3118.0
2025-12,Madrid,Actual,Actual,2975.0
2023-01,Nacional,Actual,Actual,167.0
2023-02,Nacional,Actual,Actual,162.0
2023-03,Nacional,Actual,Actual,205.0
2023-04,Nacional,Actual,Actual,260.0
2023-05,Nacional,Actual,Actual,431.0
2023-06,Nacional,Actual,Actual,379.0
2023-07,Nacional,Actual,Actual,257.0
2023-08,Nacional,Actual,Actual,525.0
2023-09,Nacional,Actual,Actual,389.0
2023-10,Nacional,Actual,Actual,520.0
2023-11,Nacional,Actual,Actual,1152.0
2023-12,Nacional,Actual,Actual,1570.0
2024-01,Nacional,Actual,Actual,546.0
2024-02,Nacional,Actual,Actual,1131.0
2024-03,Nacional,Actual,Actual,1698.0
2024-04,Nacional,Actual,Actual,2277.0
