Target,Model,MAE,RMSE,MAPE,R2,Rank,Selected_Model,Mejor_Modelo,MAPE_Label
Nacional,SARIMA,4278.0,4921.8,29.0,-0.009,1.0,SARIMA,True,29.0%
Nacional,SARIMAX,28187.8,39544.9,137.2,-64.135,6.0,SARIMA,False,137.2%
Nacional,Logistic,6228.7,6999.4,36.7,-1.041,2.0,SARIMA,False,36.7%
Nacional,Gompertz,15625.4,19146.0,82.7,-14.268,5.0,SARIMA,False,82.7%
Nacional,Ridge,2749652.7,2969388.6,14763.5,-367254.006,8.0,SARIMA,False,14763.5%
Nacional,Random Forest,10990.7,11986.5,56.8,-4.984,3.0,SARIMA,False,56.8%
Nacional,XGBoost,11937.4,12695.1,63.4,-5.713,4.0,SARIMA,False,63.4%
Nacional,Diesel Share,445352.4,482636.7,2389.3,-9701.292,7.0,SARIMA,False,2389.3%
Madrid,SARIMA,231145.8,449659.4,7847.2,-443030.138,8.0,Logistic,False,7847.2%
Madrid,SARIMAX,2056597.1,2429518.7,70214.4,-12933242.838,10.0,Logistic,False,70214.4%
Madrid,Logistic,1924.0,2057.2,73.6,-8.273,5.0,Logistic,True,73.6%
Madrid,Gompertz,5538.4,6823.5,197.1,-101.018,6.0,Logistic,False,197.1%
Madrid,Ridge,1643946.6,2309624.0,55396.4,-11688250.398,9.0,Logistic,False,55396.4%
Madrid,Random Forest,1814.2,1938.2,64.5,-7.231,4.0,Logistic,False,64.5%
Madrid,XGBoost,1743.3,1868.1,61.9,-6.647,3.0,Logistic,False,61.9%
Madrid,Diesel Share,15472.0,24107.2,543.1,-1272.392,7.0,Logistic,False,543.1%
Cataluña,SARIMA,1532.1,1749.5,49.6,-6.781,2.0,SARIMAX,False,49.6%
Cataluña,SARIMAX,2722.3,2862.4,92.3,-19.827,7.0,SARIMAX,True,92.3%
Cataluña,Logistic,2299.1,2498.6,80.2,-14.869,6.0,SARIMAX,False,80.2%
Cataluña,Gompertz,4929.6,6024.8,164.2,-91.269,8.0,SARIMAX,False,164.2%
Cataluña,Ridge,2725203.4,2981410.9,91437.5,-22594875.075,11.0,SARIMAX,False,91437.5%
Cataluña,Random Forest,1767.4,1878.0,59.3,-7.965,4.0,SARIMAX,False,59.3%
Cataluña,XGBoost,1825.5,1926.3,61.6,-8.432,5.0,SARIMAX,False,61.6%
Cataluña,Diesel Share,72129.9,77391.6,2448.4,-15223.895,9.0,SARIMAX,False,2448.4%
Andalucía,SARIMA,853.5,1027.6,49.7,-1.662,6.0,SARIMA,True,49.7%
Andalucía,SARIMAX,585.4,837.6,34.0,-0.769,2.0,SARIMA,False,34.0%
Andalucía,Logistic,833.8,1006.7,48.4,-1.555,4.0,SARIMA,False,48.4%
Andalucía,Gompertz,830.4,1002.4,48.3,-1.533,3.0,SARIMA,False,48.3%
Andalucía,Ridge,2995471.9,3128349.3,238283.1,-24671458.892,11.0,SARIMA,False,238283.1%
Andalucía,Random Forest,984.6,1172.1,56.6,-2.464,7.0,SARIMA,False,56.6%
Andalucía,XGBoost,1053.4,1202.9,65.5,-2.648,8.0,SARIMA,False,65.5%
Andalucía,Diesel Share,79229.8,82376.6,6275.1,-17105.946,9.0,SARIMA,False,6275.1%
Valencia,SARIMA,573.8,661.8,57.4,-3.932,5.0,Gompertz,False,57.4%
Valencia,SARIMAX,2846.4,4234.1,497.8,-200.868,8.0,Gompertz,False,497.8%
Valencia,Logistic,365.4,453.3,34.7,-1.314,2.0,Gompertz,False,34.7%
Valencia,Gompertz,360.3,446.6,34.2,-1.246,1.0,Gompertz,True,34.2%
Valencia,Ridge,2997317.0,3128951.3,353660.8,-110241323.387,11.0,Gompertz,False,353660.8%
Valencia,Random Forest,586.6,648.6,61.7,-3.736,6.0,Gompertz,False,61.7%
Valencia,XGBoost,527.7,610.0,52.8,-3.19,4.0,Gompertz,False,52.8%
Valencia,Diesel Share,48508.3,48748.3,5980.6,-26757.695,9.0,Gompertz,False,5980.6%
Madrid,Pooled Ridge,2747279.3,2982777.8,97649.1,-19494350.41,11.0,Logistic,False,97649.1%
Cataluña,Pooled Ridge,2724326.4,2981399.7,91390.8,-22594704.857,10.0,SARIMAX,False,91390.8%
Andalucía,Pooled Ridge,1911686.1,2495349.1,103355.0,-15697373.088,10.0,SARIMA,False,103355.0%
Valencia,Pooled Ridge,1909472.0,2495924.7,177416.1,-70147108.446,10.0,Gompertz,False,177416.1%
Madrid,Pooled Random Forest,1031.4,1211.4,34.2,-2.215,1.0,Logistic,False,34.2%
Cataluña,Pooled Random Forest,1190.6,1349.2,38.2,-3.627,1.0,SARIMAX,False,38.2%
Andalucía,Pooled Random Forest,291.5,410.2,21.5,0.576,1.0,SARIMA,False,21.5%
Valencia,Pooled Random Forest,637.7,669.6,79.5,-4.048,7.0,Gompertz,False,79.5%
Madrid,Pooled XGBoost,1595.6,1720.5,56.3,-5.486,2.0,Logistic,False,56.3%
Cataluña,Pooled XGBoost,1738.2,1840.0,58.6,-7.606,3.0,SARIMAX,False,58.6%
Andalucía,Pooled XGBoost,826.8,992.3,48.4,-1.482,5.0,SARIMA,False,48.4%
Valencia,Pooled XGBoost,270.7,328.1,35.6,-0.212,3.0,Gompertz,False,35.6%
