Fecha,CCAA,Consumo_Tm,Target
2023-01,ESPAÑA,167,Nacional
2023-02,ESPAÑA,162,Nacional
2023-03,ESPAÑA,205,Nacional
2023-04,ESPAÑA,260,Nacional
2023-05,ESPAÑA,431,Nacional
2023-06,ESPAÑA,379,Nacional
2023-07,ESPAÑA,257,Nacional
2023-08,ESPAÑA,525,Nacional
2023-09,ESPAÑA,389,Nacional
2023-10,ESPAÑA,520,Nacional
2023-11,ESPAÑA,1152,Nacional
2023-12,ESPAÑA,1570,Nacional
2024-01,ESPAÑA,546,Nacional
2024-02,ESPAÑA,1131,Nacional
2024-03,ESPAÑA,1698,Nacional
2024-04,ESPAÑA,2277,Nacional
2024-05,ESPAÑA,3382,Nacional
2024-06,ESPAÑA,5044,Nacional
2024-07,ESPAÑA,6683,Nacional
2024-08,ESPAÑA,6946,Nacional
2024-09,ESPAÑA,7044,Nacional
2024-10,ESPAÑA,8124,Nacional
2024-11,ESPAÑA,10408,Nacional
2024-12,ESPAÑA,13441,Nacional
2025-01,ESPAÑA,11376,Nacional
2025-02,ESPAÑA,10716,Nacional
2025-03,ESPAÑA,12389,Nacional
2025-04,ESPAÑA,14145,Nacional
2025-05,ESPAÑA,18921,Nacional
2025-06,ESPAÑA,23356,Nacional
2025-07,ESPAÑA,27001,Nacional
2025-08,ESPAÑA,19929,Nacional
2025-09,ESPAÑA,18836,Nacional
2025-10,ESPAÑA,20133,Nacional
2025-11,ESPAÑA,20228,Nacional
2025-12,ESPAÑA,22632,Nacional
2023-01,Andalucía,0,Andalucía
2023-01,Cataluña,85,Cataluña
2023-01,Comunitat Valenciana,52,Valencia
2023-01,"Madrid, Comunidad de",26,Madrid
2023-02,Andalucía,0,Andalucía
2023-02,Cataluña,82,Cataluña
2023-02,Comunitat Valenciana,50,Valencia
2023-02,"Madrid, Comunidad de",26,Madrid
2023-03,Andalucía,0,Andalucía
2023-03,Cataluña,119,Cataluña
2023-03,Comunitat Valenciana,25,Valencia
2023-03,"Madrid, Comunidad de",25,Madrid
2023-04,Andalucía,46,Andalucía
2023-04,Cataluña,78,Cataluña
2023-04,Comunitat Valenciana,76,Valencia
2023-04,"Madrid, Comunidad de",0,Madrid
2023-05,Andalucía,0,Andalucía
2023-05,Cataluña,169,Cataluña
2023-05,Comunitat Valenciana,76,Valencia
2023-05,"Madrid, Comunidad de",0,Madrid
2023-06,Andalucía,0,Andalucía
2023-06,Cataluña,133,Cataluña
2023-06,Comunitat Valenciana,25,Valencia
2023-06,"Madrid, Comunidad de",42,Madrid
2023-07,Andalucía,0,Andalucía
2023-07,Cataluña,170,Cataluña
2023-07,Comunitat Valenciana,0,Valencia
2023-07,"Madrid, Comunidad de",12,Madrid
2023-08,Andalucía,0,Andalucía
2023-08,Cataluña,169,Cataluña
2023-08,Comunitat Valenciana,0,Valencia
2023-08,"Madrid, Comunidad de",92,Madrid
2023-09,Andalucía,19,Andalucía
2023-09,Cataluña,109,Cataluña
