Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-01,Andalucía,BIODIESEL,Biodiesel,0
2023-01,Andalucía,BIOETANOL,Bioetanol,0
2023-01,Andalucía,FUELÓLEO  BIA,Fueloleo_BIA,4099
2023-01,Andalucía,GLP,GLP,30252
2023-01,Andalucía,GASÓLEO A,GasoleoA,246092
2023-01,Andalucía,GASÓLEO B,GasoleoB,50637
2023-01,Andalucía,GASÓLEO C,GasoleoC,6946
2023-01,Andalucía,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,58488
2023-01,Andalucía,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,2240
2023-01,Andalucía,OTRAS GASOLINAS,OtrasGasolinas,64
2023-01,Andalucía,OTROS FUELÓLEOS,OtrosFueloleos,251765
2023-01,Andalucía,OTROS GASOLEOS,OtrosGasoleos,71233
2023-01,Andalucía,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Andalucía,QUEROSENO AVIACIÓN,QuerosenoAviacion,34932
2023-01,Aragón,BIODIESEL,Biodiesel,0
2023-01,Aragón,BIOETANOL,Bioetanol,0
2023-01,Aragón,FUELÓLEO  BIA,Fueloleo_BIA,518
2023-01,Aragón,GLP,GLP,6508
2023-01,Aragón,GASÓLEO A,GasoleoA,57680
2023-01,Aragón,GASÓLEO B,GasoleoB,21393
2023-01,Aragón,GASÓLEO C,GasoleoC,10629
2023-01,Aragón,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,10232
2023-01,Aragón,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,334
2023-01,Aragón,OTRAS GASOLINAS,OtrasGasolinas,2
2023-01,Aragón,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,Aragón,OTROS GASOLEOS,OtrosGasoleos,17
2023-01,Aragón,OTROS QUEROSENOS,OtrosQueroseno,1
2023-01,Aragón,QUEROSENO AVIACIÓN,QuerosenoAviacion,5255
2023-01,"Asturias, Principado de",BIODIESEL,Biodiesel,0
2023-01,"Asturias, Principado de",BIOETANOL,Bioetanol,0
2023-01,"Asturias, Principado de",FUELÓLEO  BIA,Fueloleo_BIA,7370
