Fecha,CCAA,Provincia,Tipo_Producto,Producto_slug,Consumo_Tm,source_file
2023-01,Andalucía,Almería,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Almería,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Almería,FUELÓLEO  BIA,Fueloleo_BIA,372,ds_14200_1.csv
2023-01,Andalucía,Almería,GLP,GLP,2522,ds_14200_1.csv
2023-01,Andalucía,Almería,GASÓLEO A,GasoleoA,27269,ds_14200_1.csv
2023-01,Andalucía,Almería,GASÓLEO B,GasoleoB,5780,ds_14200_1.csv
2023-01,Andalucía,Almería,GASÓLEO C,GasoleoC,773,ds_14200_1.csv
2023-01,Andalucía,Almería,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4345,ds_14200_1.csv
2023-01,Andalucía,Almería,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,232,ds_14200_1.csv
2023-01,Andalucía,Almería,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
2023-01,Andalucía,Almería,OTROS FUELÓLEOS,OtrosFueloleos,2036,ds_14200_1.csv
2023-01,Andalucía,Almería,OTROS GASOLEOS,OtrosGasoleos,1274,ds_14200_1.csv
2023-01,Andalucía,Almería,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Almería,QUEROSENO AVIACIÓN,QuerosenoAviacion,152,ds_14200_1.csv
2023-01,Andalucía,Cádiz,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Cádiz,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Cádiz,FUELÓLEO  BIA,Fueloleo_BIA,632,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GLP,GLP,4177,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GASÓLEO A,GasoleoA,27535,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GASÓLEO B,GasoleoB,5529,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GASÓLEO C,GasoleoC,781,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,8258,ds_14200_1.csv
2023-01,Andalucía,Cádiz,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,263,ds_14200_1.csv
2023-01,Andalucía,Cádiz,OTRAS GASOLINAS,OtrasGasolinas,30,ds_14200_1.csv
2023-01,Andalucía,Cádiz,OTROS FUELÓLEOS,OtrosFueloleos,237382,ds_14200_1.csv
2023-01,Andalucía,Cádiz,OTROS GASOLEOS,OtrosGasoleos,65769,ds_14200_1.csv
2023-01,Andalucía,Cádiz,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Cádiz,QUEROSENO AVIACIÓN,QuerosenoAviacion,619,ds_14200_1.csv
2023-01,Andalucía,Córdoba,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Córdoba,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Córdoba,FUELÓLEO  BIA,Fueloleo_BIA,85,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GLP,GLP,2786,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GASÓLEO A,GasoleoA,24722,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GASÓLEO B,GasoleoB,7876,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GASÓLEO C,GasoleoC,750,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4494,ds_14200_1.csv
2023-01,Andalucía,Córdoba,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,99,ds_14200_1.csv
2023-01,Andalucía,Córdoba,OTRAS GASOLINAS,OtrasGasolinas,12,ds_14200_1.csv
2023-01,Andalucía,Córdoba,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Andalucía,Córdoba,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Andalucía,Córdoba,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Córdoba,QUEROSENO AVIACIÓN,QuerosenoAviacion,13,ds_14200_1.csv
2023-01,Andalucía,Granada,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Granada,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Granada,FUELÓLEO  BIA,Fueloleo_BIA,317,ds_14200_1.csv
2023-01,Andalucía,Granada,GLP,GLP,4180,ds_14200_1.csv
