Fecha,CCAA,CNMC_Biodiesel_Tm,GasoleoA_Tm,DieselPool_Tm,Biodiesel_GasoleoA_Ratio,Biodiesel_DieselPool_Share
2023-01,Andalucía,0.0,246092.0,374908.0,0.0,0.0
2023-01,Aragón,0.0,57680.0,89719.0,0.0,0.0
2023-01,"Asturias, Principado de",0.0,28805.0,42995.0,0.0,0.0
2023-01,"Balears, Illes",0.0,19729.0,45192.0,0.0,0.0
2023-01,Canarias,0.0,49936.0,183717.0,0.0,0.0
2023-01,Cantabria,0.0,20423.0,25304.0,0.0,0.0
2023-01,Castilla - La Mancha,0.0,92295.0,151140.0,0.0,0.0
2023-01,Castilla y León,0.0,114070.0,172177.0,0.0,0.0
2023-01,Cataluña,85.0,272954.0,368441.0,0.00031140778299640234,0.00023070179485996402
2023-01,Ceuta,0.0,1009.0,6794.0,0.0,0.0
2023-01,Comunitat Valenciana,52.0,144586.0,185307.0,0.0003596475454055026,0.00028061541118252413
2023-01,ESPAÑA,167.0,1569235.0,2318637.0,0.00010642128170732873,7.202507335128353e-05
2023-01,Extremadura,0.0,47073.0,58134.0,0.0,0.0
2023-01,Galicia,0.0,94526.0,145857.0,0.0,0.0
2023-01,"Madrid, Comunidad de",26.0,135631.0,173564.0,0.0001916965885380186,0.00014980064990435804
2023-01,Melilla,0.0,1042.0,1042.0,0.0,0.0
2023-01,"Murcia, Región de",0.0,65694.0,79291.0,0.0,0.0
2023-01,"Navarra, Comunidad Foral de",0.0,47704.0,56486.0,0.0,0.0
2023-01,País Vasco,4.0,119752.0,143178.0,3.340236488743403e-05,2.79372529299194e-05
2023-01,"Rioja, La",0.0,10234.0,15391.0,0.0,0.0
2023-02,Andalucía,0.0,261675.0,371574.0,0.0,0.0
2023-02,Aragón,0.0,63296.0,103138.0,0.0,0.0
2023-02,"Asturias, Principado de",0.0,31707.0,47368.0,0.0,0.0
2023-02,"Balears, Illes",0.0,23260.0,43808.0,0.0,0.0
2023-02,Canarias,0.0,50882.0,217562.0,0.0,0.0
2023-02,Cantabria,0.0,22830.0,29381.0,0.0,0.0
2023-02,Castilla - La Mancha,0.0,97967.0,167478.0,0.0,0.0
2023-02,Castilla y León,0.0,126882.0,211041.0,0.0,0.0
2023-02,Cataluña,82.0,320105.0,426088.0,0.0002561659455491167,0.00019244850828936745
2023-02,Ceuta,0.0,975.0,6938.0,0.0,0.0
2023-02,Comunitat Valenciana,50.0,155581.0,210002.0,0.00032137600349657093,0.0002380929705431377
2023-02,ESPAÑA,162.0,1710109.0,2574059.0,9.473080370900334e-05,6.293562035679835e-05
2023-02,Extremadura,0.0,48148.0,63287.0,0.0,0.0
2023-02,Galicia,0.0,100826.0,163712.0,0.0,0.0
2023-02,"Madrid, Comunidad de",26.0,143849.0,185809.0,0.0001807450868619177,0.00013992863639543832
2023-02,Melilla,0.0,1050.0,1050.0,0.0,0.0
2023-02,"Murcia, Región de",0.0,72698.0,87779.0,0.0,0.0
2023-02,"Navarra, Comunidad Foral de",0.0,50361.0,62342.0,0.0,0.0
2023-02,País Vasco,4.0,125814.0,155954.0,3.179296421701877e-05,2.564858868640753e-05
2023-02,"Rioja, La",0.0,12203.0,19748.0,0.0,0.0
2023-03,Andalucía,0.0,302382.0,437949.0,0.0,0.0
2023-03,Aragón,28.0,69624.0,101054.0,0.0004021601746524187,0.0002770795812140044
