Fecha,Target,Model,Forecast
2026-01,Nacional,RF+Precios,6894.3
2026-02,Nacional,RF+Precios,6869.8
2026-03,Nacional,RF+Precios,6838.8
2026-04,Nacional,RF+Precios,6806.5
2026-05,Nacional,RF+Precios,6771.8
2026-06,Nacional,RF+Precios,6866.6
2026-07,Nacional,RF+Precios,7119.8
2026-08,Nacional,RF+Precios,7215.9
2026-09,Nacional,RF+Precios,7324.9
2026-10,Nacional,RF+Precios,7370.2
2026-11,Nacional,RF+Precios,7370.2
2026-12,Nacional,RF+Precios,7297.4
2027-01,Nacional,RF+Precios,6894.3
2027-02,Nacional,RF+Precios,6869.8
2027-03,Nacional,RF+Precios,6838.8
2027-04,Nacional,RF+Precios,6806.5
2027-05,Nacional,RF+Precios,6771.8
2027-06,Nacional,RF+Precios,6866.6
2027-07,Nacional,RF+Precios,7119.8
2027-08,Nacional,RF+Precios,7215.9
2027-09,Nacional,RF+Precios,7324.9
2027-10,Nacional,RF+Precios,7370.2
2027-11,Nacional,RF+Precios,7370.2
2027-12,Nacional,RF+Precios,7297.4
2026-01,Nacional,XGB+Precios,6360.5
2026-02,Nacional,XGB+Precios,6417.9
2026-03,Nacional,XGB+Precios,6447.3
2026-04,Nacional,XGB+Precios,6576.0
2026-05,Nacional,XGB+Precios,6615.2
2026-06,Nacional,XGB+Precios,6595.8
2026-07,Nacional,XGB+Precios,6879.4
2026-08,Nacional,XGB+Precios,7048.0
2026-09,Nacional,XGB+Precios,7057.7
2026-10,Nacional,XGB+Precios,7366.3
2026-11,Nacional,XGB+Precios,7366.3
2026-12,Nacional,XGB+Precios,7366.3
2027-01,Nacional,XGB+Precios,6360.5
2027-02,Nacional,XGB+Precios,6417.9
2027-03,Nacional,XGB+Precios,6447.3
2027-04,Nacional,XGB+Precios,6576.0
2027-05,Nacional,XGB+Precios,6615.2
2027-06,Nacional,XGB+Precios,6595.8
2027-07,Nacional,XGB+Precios,6879.4
2027-08,Nacional,XGB+Precios,7048.0
2027-09,Nacional,XGB+Precios,7057.7
2027-10,Nacional,XGB+Precios,7366.3
2027-11,Nacional,XGB+Precios,7366.3
2027-12,Nacional,XGB+Precios,7366.3
2026-01,Madrid,RF+Precios,884.3
2026-02,Madrid,RF+Precios,884.3
2026-03,Madrid,RF+Precios,883.7
2026-04,Madrid,RF+Precios,865.9
2026-05,Madrid,RF+Precios,860.7
2026-06,Madrid,RF+Precios,877.9
2026-07,Madrid,RF+Precios,877.0
2026-08,Madrid,RF+Precios,887.2
2026-09,Madrid,RF+Precios,924.4
2026-10,Madrid,RF+Precios,925.0
2026-11,Madrid,RF+Precios,922.8
2026-12,Madrid,RF+Precios,922.8
2027-01,Madrid,RF+Precios,884.3
2027-02,Madrid,RF+Precios,884.3
2027-03,Madrid,RF+Precios,883.7
2027-04,Madrid,RF+Precios,865.9
2027-05,Madrid,RF+Precios,860.7
2027-06,Madrid,RF+Precios,877.9
2027-07,Madrid,RF+Precios,877.0
2027-08,Madrid,RF+Precios,887.2
2027-09,Madrid,RF+Precios,924.4
2027-10,Madrid,RF+Precios,925.0
2027-11,Madrid,RF+Precios,922.8
2027-12,Madrid,RF+Precios,922.8
2026-01,Madrid,XGB+Precios,798.3
2026-02,Madrid,XGB+Precios,801.6
2026-03,Madrid,XGB+Precios,806.6
2026-04,Madrid,XGB+Precios,781.8
2026-05,Madrid,XGB+Precios,787.1
2026-06,Madrid,XGB+Precios,808.0
2026-07,Madrid,XGB+Precios,811.3
2026-08,Madrid,XGB+Precios,830.8
2026-09,Madrid,XGB+Precios,894.6
2026-10,Madrid,XGB+Precios,899.2
2026-11,Madrid,XGB+Precios,899.2
2026-12,Madrid,XGB+Precios,895.5
2027-01,Madrid,XGB+Precios,798.3
2027-02,Madrid,XGB+Precios,801.6
2027-03,Madrid,XGB+Precios,806.6
2027-04,Madrid,XGB+Precios,781.8
2027-05,Madrid,XGB+Precios,787.1
2027-06,Madrid,XGB+Precios,808.0
