Fecha;CCAA;Provincia;Tipo Producto;Consumo Tm
2026-01;Andalucía;Almería;BIODIESEL;200
2026-01;Andalucía;Almería;GASÓLEO A;31801
2026-01;Andalucía;Almería;GASÓLEO B;6670
2026-01;Andalucía;Almería;GASÓLEO C;1110
2026-01;Andalucía;Almería;OTROS GASOLEOS;780
2026-01;Andalucía;Almería;BIOETANOL;0
2026-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 95 I.O.;6154
2026-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 98 I.O.;293
2026-01;Andalucía;Almería;OTRAS GASOLINAS;1
2026-01;Andalucía;Almería;FUELÓLEO  BIA;199
2026-01;Andalucía;Almería;OTROS FUELÓLEOS;27009
2026-01;Andalucía;Almería;QUEROSENO AVIACIÓN;431
2026-01;Andalucía;Almería;OTROS QUEROSENOS;0
2026-01;Andalucía;Almería;GLP;3754
2026-01;Andalucía;Cádiz;BIODIESEL;123
2026-01;Andalucía;Cádiz;GASÓLEO A;28787
2026-01;Andalucía;Cádiz;GASÓLEO B;5100
2026-01;Andalucía;Cádiz;GASÓLEO C;417
2026-01;Andalucía;Cádiz;OTROS GASOLEOS;23824
2026-01;Andalucía;Cádiz;BIOETANOL;0
2026-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 95 I.O.;10997
2026-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 98 I.O.;377
2026-01;Andalucía;Cádiz;OTRAS GASOLINAS;20
2026-01;Andalucía;Cádiz;FUELÓLEO  BIA;25171
2026-01;Andalucía;Cádiz;OTROS FUELÓLEOS;168868
2026-01;Andalucía;Cádiz;QUEROSENO AVIACIÓN;664
2026-01;Andalucía;Cádiz;OTROS QUEROSENOS;0
2026-01;Andalucía;Cádiz;GLP;4314
2026-01;Andalucía;Córdoba;BIODIESEL;193
2026-01;Andalucía;Córdoba;GASÓLEO A;27889
2026-01;Andalucía;Córdoba;GASÓLEO B;7306
2026-01;Andalucía;Córdoba;GASÓLEO C;1219
2026-01;Andalucía;Córdoba;OTROS GASOLEOS;0
2026-01;Andalucía;Córdoba;BIOETANOL;0
2026-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 95 I.O.;5786
2026-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 98 I.O.;137
2026-01;Andalucía;Córdoba;OTRAS GASOLINAS;7
2026-01;Andalucía;Córdoba;FUELÓLEO  BIA;52
2026-01;Andalucía;Córdoba;OTROS FUELÓLEOS;0
2026-01;Andalucía;Córdoba;QUEROSENO AVIACIÓN;38
2026-01;Andalucía;Córdoba;OTROS QUEROSENOS;0
2026-01;Andalucía;Córdoba;GLP;2564
2026-01;Andalucía;Granada;BIODIESEL;86
2026-01;Andalucía;Granada;GASÓLEO A;30443
2026-01;Andalucía;Granada;GASÓLEO B;7172
2026-01;Andalucía;Granada;GASÓLEO C;5410
2026-01;Andalucía;Granada;OTROS GASOLEOS;360
2026-01;Andalucía;Granada;BIOETANOL;0
2026-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 95 I.O.;8639
2026-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 98 I.O.;387
2026-01;Andalucía;Granada;OTRAS GASOLINAS;4
2026-01;Andalucía;Granada;FUELÓLEO  BIA;104
2026-01;Andalucía;Granada;OTROS FUELÓLEOS;507
