Fecha;CCAA;Provincia;Tipo Producto;Consumo Tm
2024-01;Andalucía;Almería;BIODIESEL;0
2024-01;Andalucía;Almería;GASÓLEO A;26252
2024-01;Andalucía;Almería;GASÓLEO B;6073
2024-01;Andalucía;Almería;GASÓLEO C;439
2024-01;Andalucía;Almería;OTROS GASOLEOS;1277
2024-01;Andalucía;Almería;BIOETANOL;0
2024-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 95 I.O.;5070
2024-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 98 I.O.;248
2024-01;Andalucía;Almería;OTRAS GASOLINAS;1
2024-01;Andalucía;Almería;FUELÓLEO  BIA;187
2024-01;Andalucía;Almería;OTROS FUELÓLEOS;1467
2024-01;Andalucía;Almería;QUEROSENO AVIACIÓN;238
2024-01;Andalucía;Almería;OTROS QUEROSENOS;0
2024-01;Andalucía;Almería;GLP;2774
2024-01;Andalucía;Cádiz;BIODIESEL;23
2024-01;Andalucía;Cádiz;GASÓLEO A;31689
2024-01;Andalucía;Cádiz;GASÓLEO B;6412
2024-01;Andalucía;Cádiz;GASÓLEO C;587
2024-01;Andalucía;Cádiz;OTROS GASOLEOS;89595
2024-01;Andalucía;Cádiz;BIOETANOL;0
2024-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 95 I.O.;10254
2024-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 98 I.O.;333
2024-01;Andalucía;Cádiz;OTRAS GASOLINAS;33
2024-01;Andalucía;Cádiz;FUELÓLEO  BIA;0
2024-01;Andalucía;Cádiz;OTROS FUELÓLEOS;281833
2024-01;Andalucía;Cádiz;QUEROSENO AVIACIÓN;475
2024-01;Andalucía;Cádiz;OTROS QUEROSENOS;0
2024-01;Andalucía;Cádiz;GLP;4185
2024-01;Andalucía;Córdoba;BIODIESEL;7
2024-01;Andalucía;Córdoba;GASÓLEO A;33156
2024-01;Andalucía;Córdoba;GASÓLEO B;8410
2024-01;Andalucía;Córdoba;GASÓLEO C;1082
2024-01;Andalucía;Córdoba;OTROS GASOLEOS;0
2024-01;Andalucía;Córdoba;BIOETANOL;0
2024-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 95 I.O.;5106
2024-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 98 I.O.;120
2024-01;Andalucía;Córdoba;OTRAS GASOLINAS;7
2024-01;Andalucía;Córdoba;FUELÓLEO  BIA;35
2024-01;Andalucía;Córdoba;OTROS FUELÓLEOS;0
2024-01;Andalucía;Córdoba;QUEROSENO AVIACIÓN;16
2024-01;Andalucía;Córdoba;OTROS QUEROSENOS;0
2024-01;Andalucía;Córdoba;GLP;2912
2024-01;Andalucía;Granada;BIODIESEL;0
2024-01;Andalucía;Granada;GASÓLEO A;37395
2024-01;Andalucía;Granada;GASÓLEO B;7347
2024-01;Andalucía;Granada;GASÓLEO C;4205
2024-01;Andalucía;Granada;OTROS GASOLEOS;362
2024-01;Andalucía;Granada;BIOETANOL;0
2024-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 95 I.O.;8107
2024-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 98 I.O.;326
2024-01;Andalucía;Granada;OTRAS GASOLINAS;1
2024-01;Andalucía;Granada;FUELÓLEO  BIA;177
2024-01;Andalucía;Granada;OTROS FUELÓLEOS;665
2024-01;Andalucía;Granada;QUEROSENO AVIACIÓN;1072
2024-01;Andalucía;Granada;OTROS QUEROSENOS;0
2024-01;Andalucía;Granada;GLP;4204
2024-01;Andalucía;Huelva;BIODIESEL;0
2024-01;Andalucía;Huelva;GASÓLEO A;23881
2024-01;Andalucía;Huelva;GASÓLEO B;7987
2024-01;Andalucía;Huelva;GASÓLEO C;299
2024-01;Andalucía;Huelva;OTROS GASOLEOS;1028
2024-01;Andalucía;Huelva;BIOETANOL;0
2024-01;Andalucía;Huelva;GASOLINA  AUTO. S/PB 95 I.O.;4260
2024-01;Andalucía;Huelva;GASOLINA  AUTO. S/PB 98 I.O.;101
2024-01;Andalucía;Huelva;OTRAS GASOLINAS;0
2024-01;Andalucía;Huelva;FUELÓLEO  BIA;619
2024-01;Andalucía;Huelva;OTROS FUELÓLEOS;570
2024-01;Andalucía;Huelva;QUEROSENO AVIACIÓN;0
2024-01;Andalucía;Huelva;OTROS QUEROSENOS;0
2024-01;Andalucía;Huelva;GLP;2880
2024-01;Andalucía;Jaén;BIODIESEL;36
2024-01;Andalucía;Jaén;GASÓLEO A;25778
2024-01;Andalucía;Jaén;GASÓLEO B;4908
2024-01;Andalucía;Jaén;GASÓLEO C;1946
2024-01;Andalucía;Jaén;OTROS GASOLEOS;0
2024-01;Andalucía;Jaén;BIOETANOL;0
2024-01;Andalucía;Jaén;GASOLINA  AUTO. S/PB 95 I.O.;4780
2024-01;Andalucía;Jaén;GASOLINA  AUTO. S/PB 98 I.O.;124
2024-01;Andalucía;Jaén;OTRAS GASOLINAS;0
2024-01;Andalucía;Jaén;FUELÓLEO  BIA;26
2024-01;Andalucía;Jaén;OTROS FUELÓLEOS;0
2024-01;Andalucía;Jaén;QUEROSENO AVIACIÓN;10
2024-01;Andalucía;Jaén;OTROS QUEROSENOS;0
2024-01;Andalucía;Jaén;GLP;1893
2024-01;Andalucía;Málaga;BIODIESEL;0
2024-01;Andalucía;Málaga;GASÓLEO A;43911
2024-01;Andalucía;Málaga;GASÓLEO B;4754
2024-01;Andalucía;Málaga;GASÓLEO C;538
2024-01;Andalucía;Málaga;OTROS GASOLEOS;1022
2024-01;Andalucía;Málaga;BIOETANOL;0
2024-01;Andalucía;Málaga;GASOLINA  AUTO. S/PB 95 I.O.;16496
2024-01;Andalucía;Málaga;GASOLINA  AUTO. S/PB 98 I.O.;1038
2024-01;Andalucía;Málaga;OTRAS GASOLINAS;14
2024-01;Andalucía;Málaga;FUELÓLEO  BIA;27
2024-01;Andalucía;Málaga;OTROS FUELÓLEOS;1097
2024-01;Andalucía;Málaga;QUEROSENO AVIACIÓN;32026
2024-01;Andalucía;Málaga;OTROS QUEROSENOS;0
2024-01;Andalucía;Málaga;GLP;6387
2024-01;Andalucía;Sevilla;BIODIESEL;26
2024-01;Andalucía;Sevilla;GASÓLEO A;53767
2024-01;Andalucía;Sevilla;GASÓLEO B;8176
2024-01;Andalucía;Sevilla;GASÓLEO C;836
2024-01;Andalucía;Sevilla;OTROS GASOLEOS;1023
2024-01;Andalucía;Sevilla;BIOETANOL;0
2024-01;Andalucía;Sevilla;GASOLINA  AUTO. S/PB 95 I.O.;14305
2024-01;Andalucía;Sevilla;GASOLINA  AUTO. S/PB 98 I.O.;298
2024-01;Andalucía;Sevilla;OTRAS GASOLINAS;4
2024-01;Andalucía;Sevilla;FUELÓLEO  BIA;355
2024-01;Andalucía;Sevilla;OTROS FUELÓLEOS;561
2024-01;Andalucía;Sevilla;QUEROSENO AVIACIÓN;10967
2024-01;Andalucía;Sevilla;OTROS QUEROSENOS;0
2024-01;Andalucía;Sevilla;GLP;5843
2024-01;Aragón;Huesca;BIODIESEL;0
2024-01;Aragón;Huesca;GASÓLEO A;13158
2024-01;Aragón;Huesca;GASÓLEO B;7135
2024-01;Aragón;Huesca;GASÓLEO C;2459
2024-01;Aragón;Huesca;OTROS GASOLEOS;0
2024-01;Aragón;Huesca;BIOETANOL;0
2024-01;Aragón;Huesca;GASOLINA  AUTO. S/PB 95 I.O.;2773
2024-01;Aragón;Huesca;GASOLINA  AUTO. S/PB 98 I.O.;130
2024-01;Aragón;Huesca;OTRAS GASOLINAS;4
2024-01;Aragón;Huesca;FUELÓLEO  BIA;0
2024-01;Aragón;Huesca;OTROS FUELÓLEOS;0
2024-01;Aragón;Huesca;QUEROSENO AVIACIÓN;0
2024-01;Aragón;Huesca;OTROS QUEROSENOS;0
2024-01;Aragón;Huesca;GLP;3310
2024-01;Aragón;Teruel;BIODIESEL;0
2024-01;Aragón;Teruel;GASÓLEO A;7781
2024-01;Aragón;Teruel;GASÓLEO B;3981
2024-01;Aragón;Teruel;GASÓLEO C;2645
2024-01;Aragón;Teruel;OTROS GASOLEOS;0
2024-01;Aragón;Teruel;BIOETANOL;0
2024-01;Aragón;Teruel;GASOLINA  AUTO. S/PB 95 I.O.;1303
2024-01;Aragón;Teruel;GASOLINA  AUTO. S/PB 98 I.O.;47
2024-01;Aragón;Teruel;OTRAS GASOLINAS;0
2024-01;Aragón;Teruel;FUELÓLEO  BIA;96
2024-01;Aragón;Teruel;OTROS FUELÓLEOS;0
2024-01;Aragón;Teruel;QUEROSENO AVIACIÓN;55
2024-01;Aragón;Teruel;OTROS QUEROSENOS;0
2024-01;Aragón;Teruel;GLP;876
2024-01;Aragón;Zaragoza;BIODIESEL;78
2024-01;Aragón;Zaragoza;GASÓLEO A;40317
2024-01;Aragón;Zaragoza;GASÓLEO B;10770
2024-01;Aragón;Zaragoza;GASÓLEO C;10183
2024-01;Aragón;Zaragoza;OTROS GASOLEOS;17
2024-01;Aragón;Zaragoza;BIOETANOL;0
2024-01;Aragón;Zaragoza;GASOLINA  AUTO. S/PB 95 I.O.;8168
2024-01;Aragón;Zaragoza;GASOLINA  AUTO. S/PB 98 I.O.;256
2024-01;Aragón;Zaragoza;OTRAS GASOLINAS;1
2024-01;Aragón;Zaragoza;FUELÓLEO  BIA;6
2024-01;Aragón;Zaragoza;OTROS FUELÓLEOS;0
2024-01;Aragón;Zaragoza;QUEROSENO AVIACIÓN;6495
2024-01;Aragón;Zaragoza;OTROS QUEROSENOS;0
2024-01;Aragón;Zaragoza;GLP;3003
2024-01;Asturias, Principado de;Asturias;BIODIESEL;0
2024-01;Asturias, Principado de;Asturias;GASÓLEO A;30981
2024-01;Asturias, Principado de;Asturias;GASÓLEO B;7035
2024-01;Asturias, Principado de;Asturias;GASÓLEO C;5137
2024-01;Asturias, Principado de;Asturias;OTROS GASOLEOS;3314
2024-01;Asturias, Principado de;Asturias;BIOETANOL;0
2024-01;Asturias, Principado de;Asturias;GASOLINA  AUTO. S/PB 95 I.O.;7918
2024-01;Asturias, Principado de;Asturias;GASOLINA  AUTO. S/PB 98 I.O.;420
2024-01;Asturias, Principado de;Asturias;OTRAS GASOLINAS;1
2024-01;Asturias, Principado de;Asturias;FUELÓLEO  BIA;607
